,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
0,September 12,1,1976,57,Atlanta Falcons,Los Angeles Rams,14,30,Marion Campbell,Chuck Knox,0-1,1-0,outdoors,grass,Ron Jaworski,Steve Bartkowski,17,12,51-232-1,22-62-1,8-16-137-2-1,16-33-193-1-3,0-0,5-45,137,148,369,210,3-3,3-1,4,4,7-59,7-70,,
1,September 12,1,1976,57,Washington Redskins,New York Giants,19,17,George Allen,Bill Arnsparger,1-0,0-1,outdoors,grass,Craig Morton,Billy Kilmer,14,17,40-96-0,31-89-0,13-26-228-2-4,17-36-257-2-1,2-7,3-24,221,233,317,322,1-0,3-2,4,3,6-55,13-120,,
2,September 12,1,1976,57,Cleveland Browns,New York Jets,38,17,Forrest Gregg,Lou Holtz,1-0,0-1,outdoors,grass,Joe Namath,Mike Phipps,17,21,28-111-2,42-207-0,19-36-162-0-2,18-25-183-5-0,2-15,0-0,147,183,258,390,0-0,3-1,2,1,5-40,5-73,,
3,September 12,1,1976,57,New England Patriots,Baltimore Colts,13,27,Chuck Fairbanks,Ted Marchibroda,0-1,1-0,outdoors,astroturf,Bert Jones,Steve Grogan,20,17,38-122-1,37-149-1,17-23-190-2-0,12-22-179-0-4,2-40,2-11,150,168,272,317,1-1,1-1,1,5,6-45,6-55,,
4,September 12,1,1976,57,Chicago Bears,Detroit Lions,10,3,Jack Pardee,Rick Forzano,1-0,0-1,outdoors,astroturf,Joe Reed,Bob Avellini,15,12,27-109-0,43-114-1,15-35-166-0-0,8-17-143-0-0,6-32,2-17,134,126,243,240,3-3,0-0,3,0,7-43,8-65,,
5,September 12,1,1976,57,Kansas City Chiefs,San Diego Chargers,16,30,Paul Wiggin,Tommy Prothro,0-1,1-0,outdoors,astroturf,Dan Fouts,Mike Livingston,27,19,47-267-2,26-113-0,17-30-205-2-0,20-34-236-2-3,2-5,2-19,200,217,467,330,2-0,1-1,0,4,6-35,4-43,,
6,September 12,1,1976,57,Green Bay Packers,San Francisco 49ers,14,26,Bart Starr,Monte Clark,0-1,1-0,outdoors,grass,Jim Plunkett,Lynn Dickey,17,17,45-210-2,36-125-1,8-12-120-2-1,14-36-149-0-0,2-16,4-47,104,102,314,227,0-0,5-3,1,3,10-92,4-59,,
7,September 12,1,1976,57,Houston Oilers,Tampa Bay Buccaneers,20,0,Bum Phillips,John McKay,1-0,0-1,dome,astroturf,Steve Spurrier,Dan Pastorini,8,21,26-52-0,42-190-0,9-26-105-0-2,19-29-205-2-1,6-47,2-23,58,182,110,372,0-0,3-3,2,4,9-80,8-60,,
8,September 12,1,1976,57,Cincinnati Bengals,Denver Broncos,17,7,Bill Johnson,John Ralston,1-0,0-1,outdoors,astroturf,Steve Ramsey,Ken Anderson,12,14,34-115-1,33-118-0,7-22-97-0-2,17-25-147-2-1,6-51,3-12,46,135,161,253,1-0,1-0,2,1,3-51,2-10,,
9,September 12,1,1976,57,Dallas Cowboys,Philadelphia Eagles,27,7,Tom Landry,Dick Vermeil,1-0,0-1,outdoors,astroturf,Mike Boryla,Roger Staubach,18,24,30-136-0,40-180-1,14-32-152-1-2,24-35-267-2-1,1-8,1-2,144,265,280,445,4-3,3-2,5,3,6-30,6-39,,
10,September 12,1,1976,57,New Orleans Saints,Minnesota Vikings,9,40,Hank Stram,Bud Grant,0-1,1-0,dome,astroturf,Fran Tarkenton,Bobby Scott,28,9,47-173-4,16-50-1,22-36-311-1-0,10-26-109-0-0,5-35,4-27,276,82,449,132,1-1,4-3,1,3,5-36,3-36,,
