,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
0,1977,September 18,1,Buffalo Bills,Miami Dolphins,Jim Ringo,Don Shula,0-1,1-0,outdoors,astroturf,Bob Griese,Joe Ferguson,10,16,32-96-1,40-127-0,9-19-84-0-0,19-37-204-0-1,3-32,1-7,52,197,148,324,1-0,7-3,0,4,1-10,6-71,,
1,1977,September 18,1,New England Patriots,Kansas City Chiefs,Chuck Fairbanks,Paul Wiggin,1-0,0-1,outdoors,astroturf,Mike Livingston,Steve Grogan,21,19,37-180-2,46-241-2,13-26-219-0-0,10-16-155-1-2,6-64,2-15,155,140,335,381,3-2,3-2,2,4,6-71,13-96,,
2,1977,September 18,1,Atlanta Falcons,Los Angeles Rams,Leeman Bennett,Chuck Knox,1-0,0-1,outdoors,grass,Joe Namath,Scott Hunter,9,14,21-59-0,52-156-2,15-30-141-1-0,10-17-121-0-0,3-33,2-13,108,108,167,264,3-3,0-0,3,0,7-60,6-53,,
3,1977,September 18,1,New York Giants,Washington Redskins,John McVay,George Allen,1-0,0-1,outdoors,astroturf,Billy Kilmer,Jerry Golsteyn,19,13,38-122-1,41-166-0,13-26-153-1-1,7-14-123-1-1,2-14,1-10,139,113,261,279,3-1,1-0,2,1,10-85,13-112,,
4,1977,September 18,1,Philadelphia Eagles,Tampa Bay Buccaneers,Dick Vermeil,John McKay,1-0,0-1,outdoors,astroturf,Randy Hedberg,Ron Jaworski,8,15,27-92-0,38-144-0,11-27-70-0-0,15-25-162-2-2,5-44,3-25,26,137,118,281,1-1,3-3,1,5,8-77,4-29,,
5,1977,September 18,1,Cincinnati Bengals,Cleveland Browns,Bill Johnson,Forrest Gregg,0-1,1-0,outdoors,astroturf,Brian Sipe,Ken Anderson,16,16,37-112-1,33-104-0,15-22-198-0-1,16-34-157-0-1,4-25,3-16,173,141,285,245,3-2,2-2,3,3,9-73,3-25,,
6,1977,September 18,1,Minnesota Vikings,Dallas Cowboys,Bud Grant,Tom Landry,0-1,1-0,outdoors,grass,Roger Staubach,Fran Tarkenton,16,20,35-131-1,43-156-0,18-30-196-1-0,13-32-182-1-3,3-30,4-44,166,138,297,294,3-1,5-2,1,5,9-85,6-35,,
7,1977,September 18,1,New Orleans Saints,Green Bay Packers,Hank Stram,Bart Starr,0-1,1-0,dome,astroturf,Lynn Dickey,Archie Manning,11,19,34-81-1,32-153-2,11-20-142-1-1,18-30-225-1-1,2-19,7-63,123,162,204,315,0-0,2-1,1,2,4-50,8-54,,
8,1977,September 18,1,Chicago Bears,Detroit Lions,Jack Pardee,Tommy Hudspeth,1-0,0-1,outdoors,astroturf,Greg Landry,Bob Avellini,20,16,30-168-2,48-260-3,17-25-239-0-0,4-9-45-0-0,6-44,1-5,195,40,363,300,3-1,2-0,1,0,6-50,2-15,,
9,1977,September 18,1,Houston Oilers,New York Jets,Bum Phillips,Walt Michaels,1-0,0-1,dome,astroturf,Richard Todd,Dan Pastorini,11,19,26-102-0,33-109-3,10-26-115-0-1,20-32-137-0-0,3-38,1-7,77,130,179,239,1-1,1-0,2,0,11-90,10-86,,
10,1977,September 18,1,Denver Broncos,St. Louis Cardinals,Red Miller,Don Coryell,1-0,0-1,outdoors,grass,Jim Hart,Craig Morton,12,15,30-69-0,40-136-1,19-36-222-0-1,12-20-144-0-1,2-18,2-22,204,122,273,258,2-0,4-3,1,4,7-57,8-74,,
11,1977,September 18,1,Seattle Seahawks,Baltimore Colts,Jack Patera,Ted Marchibroda,0-1,1-0,dome,astroturf,Bert Jones,Jim Zorn,23,16,50-206-2,25-104-0,17-26-220-1-0,14-35-164-1-4,0-0,3-13,220,151,426,255,2-1,0-0,1,4,4-40,3-15,,
12,1977,September 18,1,Oakland Raiders,San Diego Chargers,John Madden,Tommy Prothro,1-0,0-1,outdoors,grass,James Harris,Ken Stabler,7,21,20-59-0,59-178-1,11-22-77-0-1,13-20-139-2-1,2-15,0-0,62,139,121,317,4-2,2-0,3,1,12-103,13-105,,
13,1977,September 19,1,Pittsburgh Steelers,San Francisco 49ers,Chuck Noll,Ken Meyer,1-0,0-1,outdoors,astroturf,Jim Plunkett,Terry Bradshaw,8,19,33-82-0,45-175-2,4-18-56-0-2,12-24-164-1-0,4-37,3-31,19,133,101,308,1-1,1-1,3,1,8-50,7-71,,
14,1977,September 24,2,Tampa Bay Buccaneers,Minnesota Vikings,John McKay,Bud Grant,0-2,1-1,outdoors,grass,Fran Tarkenton,Randy Hedberg,17,8,32-104-0,34-104-0,25-38-223-1-2,5-17-48-0-3,1-12,2-14,211,34,315,138,2-1,1-0,3,3,7-64,8-69,,
15,1977,September 25,2,Pittsburgh Steelers,Oakland Raiders,Chuck Noll,John Madden,1-1,2-0,outdoors,astroturf,Ken Stabler,Terry Bradshaw,13,18,46-140-1,31-152-0,8-19-107-0-0,16-32-268-1-3,0-0,5-51,107,217,247,369,0-0,2-2,0,5,7-54,6-57,,
16,1977,September 25,2,Washington Redskins,Atlanta Falcons,George Allen,Leeman Bennett,1-1,1-1,outdoors,grass,Scott Hunter,Billy Kilmer,16,15,45-107-0,30-105-0,16-33-269-0-0,13-29-168-1-2,4-35,3-21,234,147,341,252,2-0,1-1,0,3,9-131,12-114,,
17,1977,September 25,2,Cincinnati Bengals,Seattle Seahawks,Bill Johnson,Jack Patera,1-1,0-2,outdoors,astroturf,Jim Zorn,Ken Anderson,15,27,31-110-1,40-199-3,10-28-176-1-3,18-30-237-2-1,1-4,1-12,172,225,282,424,1-0,0-0,3,1,6-59,12-103,,
18,1977,September 25,2,New York Jets,Baltimore Colts,Walt Michaels,Ted Marchibroda,0-2,2-0,outdoors,grass,Bert Jones,Richard Todd,15,14,50-152-3,34-80-1,9-15-78-0-1,13-22-140-0-2,2-16,1-8,62,132,214,212,1-0,2-0,1,2,12-73,4-29,,
19,1977,September 25,2,St. Louis Cardinals,Chicago Bears,Don Coryell,Jack Pardee,1-1,1-1,outdoors,astroturf,Bob Avellini,Jim Hart,18,17,25-101-0,40-133-0,19-39-184-1-2,16-24-215-1-2,0-0,0-0,184,215,285,348,0-0,3-2,2,4,7-47,5-55,,
20,1977,September 25,2,Detroit Lions,New Orleans Saints,Tommy Hudspeth,Hank Stram,1-1,0-2,dome,astroturf,Archie Manning,Greg Landry,9,26,17-39-1,53-306-1,10-22-85-0-1,13-28-183-2-0,6-32,5-60,53,123,92,429,0-0,2-1,1,1,7-61,10-84,,
21,1977,September 25,2,Dallas Cowboys,New York Giants,Tom Landry,John McVay,2-0,1-1,outdoors,astroturf,Joe Pisarcik,Roger Staubach,14,25,27-69-2,45-185-4,10-26-133-0-3,21-36-265-1-0,5-41,1-6,92,259,161,444,3-2,2-1,5,1,7-59,11-95,,
22,1977,September 25,2,Kansas City Chiefs,San Diego Chargers,Paul Wiggin,Tommy Prothro,0-2,1-1,outdoors,astroturf,James Harris,Mike Livingston,20,9,48-214-1,27-75-0,11-25-85-1-3,8-23-115-1-3,1-12,5-41,73,74,287,149,2-0,0-0,3,3,9-70,7-61,,
23,1977,September 25,2,Green Bay Packers,Houston Oilers,Bart Starr,Bum Phillips,1-1,2-0,outdoors,grass,Dan Pastorini,Lynn Dickey,18,15,34-90-1,32-95-0,18-30-152-0-0,16-26-193-1-3,2-15,1-9,137,184,227,279,2-0,1-1,0,4,8-40,6-38,,
