,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,over/under
0,September 2,1,1978,59,Tampa Bay Buccaneers,New York Giants,John McKay,John McVay,0-1,1-0,outdoors,grass,Tampa Bay Buccaneers -2.0,Joe Pisarcik,Gary Huff,12,16,35-76-0,39-165-1,12-25-183-1-1,10-28-93-0-3,4-21,1-7,162,86,238,251,0-0,4-1,1,4,7-64,8-55,
1,September 3,1,1978,59,Atlanta Falcons,Houston Oilers,Leeman Bennett,Bum Phillips,1-0,0-1,outdoors,grass,Houston Oilers -3.5,Dan Pastorini,June Jones,13,11,21-156-1,35-100-0,19-36-136-1-2,10-23-104-1-0,4-31,4-33,105,71,261,171,4-2,3-1,4,1,7-52,8-75,
2,September 3,1,1978,59,Buffalo Bills,Pittsburgh Steelers,Chuck Knox,Chuck Noll,0-1,1-0,outdoors,astroturf,Pittsburgh Steelers -10.5,Terry Bradshaw,Bill Munson,21,16,43-142-2,29-100-0,14-19-217-2-1,13-26-191-2-1,0-0,3-27,217,164,359,264,0-0,0-0,1,1,5-54,9-62,
3,September 3,1,1978,59,New Orleans Saints,Minnesota Vikings,Dick Nolan,Bud Grant,1-0,0-1,dome,astroturf,Minnesota Vikings -6.5,Fran Tarkenton,Archie Manning,28,19,32-155-1,34-138-3,28-49-282-2-4,15-22-193-0-0,1-13,2-10,269,183,424,321,4-2,1-1,6,1,7-82,14-127,
4,September 3,1,1978,59,New England Patriots,Washington Redskins,Chuck Fairbanks,Jack Pardee,0-1,1-0,outdoors,astroturf,New England Patriots -9.5,Joe Theismann,Steve Grogan,14,21,37-149-0,40-161-0,10-24-184-1-1,12-31-199-2-2,1-9,3-34,175,165,324,326,3-1,1-1,2,3,6-45,5-55,
5,September 3,1,1978,59,New York Jets,Miami Dolphins,Walt Michaels,Don Shula,1-0,0-1,outdoors,grass,Miami Dolphins -4.0,Don Strock,Richard Todd,16,23,25-154-1,43-153-0,15-29-187-2-2,17-25-245-3-1,1-12,2-18,175,227,329,380,0-0,0-0,2,1,4-35,9-59,
6,September 3,1,1978,59,Detroit Lions,Green Bay Packers,Monte Clark,Bart Starr,0-1,1-0,dome,astroturf,Detroit Lions -8.0,David Whitehurst,Greg Landry,16,11,55-181-1,26-82-1,3-9-31-0-0,10-19-116-0-1,0-0,8-76,31,40,212,122,1-0,3-0,0,1,8-40,9-31,
7,September 3,1,1978,59,Cleveland Browns,San Francisco 49ers,Sam Rutigliano,Pete McCulley,1-0,0-1,outdoors,grass,Cleveland Browns -4.5,Steve DeBerg,Brian Sipe,18,18,40-131-0,41-213-2,16-32-174-1-3,12-26-190-1-0,1-10,1-10,164,180,295,393,4-3,6-3,6,3,8-55,8-62,
8,September 3,1,1978,59,Philadelphia Eagles,Los Angeles Rams,Dick Vermeil,Ray Malavasi,0-1,1-0,outdoors,astroturf,Los Angeles Rams -6.0,Pat Haden,Ron Jaworski,15,10,33-103-0,30-128-0,14-33-154-0-0,7-17-102-1-1,5-37,3-22,117,80,220,208,3-1,2-1,1,2,10-82,3-38,
9,September 3,1,1978,59,Cincinnati Bengals,Kansas City Chiefs,Bill Johnson,Marv Levy,0-1,1-0,outdoors,astroturf,Cincinnati Bengals -8.0,Mike Livingston,John Reaves,26,12,69-267-3,17-77-0,14-20-133-0-0,10-24-159-1-2,1-12,4-31,121,128,388,205,4-2,1-1,2,3,9-80,4-27,
10,September 3,1,1978,59,Chicago Bears,St. Louis Cardinals,Neill Armstrong,Bud Wilkinson,1-0,0-1,outdoors,astroturf,Chicago Bears -3.5,Jim Hart,Bob Avellini,16,19,28-99-0,45-194-2,17-33-152-1-2,8-19-72-0-0,2-15,3-23,137,49,236,243,1-0,1-0,2,0,5-27,4-57,
11,September 3,1,1978,59,Seattle Seahawks,San Diego Chargers,Jack Patera,Tommy Prothro,0-1,1-0,dome,astroturf,San Diego Chargers -6.0,Dan Fouts,Jim Zorn,16,22,28-89-0,38-138-1,14-22-186-2-1,21-32-329-2-1,0-0,3-21,186,308,275,446,2-1,2-1,2,2,3-15,5-52,
12,September 3,1,1978,59,Denver Broncos,Oakland Raiders,Red Miller,John Madden,1-0,0-1,outdoors,grass,Oakland Raiders -4.0,Ken Stabler,Craig Morton,16,13,37-117-0,41-144-1,12-29-212-0-2,5-13-34-1-1,1-11,3-26,201,8,318,152,1-1,1-0,3,1,8-68,2-10,
13,September 4,1,1978,59,Dallas Cowboys,Baltimore Colts,Tom Landry,Ted Marchibroda,1-0,0-1,outdoors,astroturf,Dallas Cowboys -10.5,Mike Kirkland,Roger Staubach,9,25,27-99-0,45-278-1,9-20-116-0-2,19-27-305-4-2,5-34,0-0,82,305,181,583,1-1,1-1,3,3,6-35,4-35,
14,September 9,2,1978,59,Tampa Bay Buccaneers,Detroit Lions,John McKay,Monte Clark,0-2,1-1,outdoors,grass,Detroit Lions -1.0,Greg Landry,Gary Huff,11,10,46-149-0,29-140-1,9-14-69-1-0,6-14-63-0-1,2-22,7-94,47,-31,196,109,3-2,6-5,2,6,8-80,5-45,
15,September 10,2,1978,59,Washington Redskins,Philadelphia Eagles,Jack Pardee,Dick Vermeil,2-0,0-2,outdoors,grass,Washington Redskins -3.5,Ron Jaworski,Joe Theismann,18,19,27-128-3,35-117-1,21-35-222-1-1,14-24-226-3-1,4-37,3-27,185,199,313,316,1-1,2-2,2,3,6-48,7-58,
16,September 10,2,1978,59,New York Giants,Dallas Cowboys,John McVay,Tom Landry,1-1,2-0,outdoors,astroturf,Dallas Cowboys -11.0,Roger Staubach,Joe Pisarcik,32,22,49-189-3,24-100-2,18-28-212-2-1,15-37-261-1-3,0-0,3-18,212,243,401,343,2-1,2-1,2,4,6-60,5-37,
