,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeDE,homeDT,homeLB,homeCB,homeS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDE,awayDT,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayLDE,awayLDT,awayRDE,awayRDT,homeLCB,homeLDE,homeLILB,homeLOLB,homeLS,homeNT,homeRCB,homeRDE,homeRILB,homeROLB,homeRS,awayLLB,awayRLB,homeFB,homeFS,homeLDT,homeMLB,homeRDT,homeSLB,homeSS,homeWLB,awayG,awayT,homeLLB,homeRLB,awayL,awayLILB,awayLOLB,awayNT,awayRILB,awayROLB,homeT,awayCB,awayLB,awayS,awayUT,homeOLB,awayOLB,awayILB,homeL,homeUT,awayHB,homeXR,homeZR,awayFL,homeFL,homeSE,awayLS,awayRS,awayXR,awayZR,homeG,homeILB,awaySE,homeHB,awayDB,homeDB,awayEOLB,homeSB,awayREC,homeRD,awayOT
0,September 12,1,1999,80,Washington Redskins,Dallas Cowboys,Norv Turner,Chan Gailey,0-1,1-0,outdoors,grass,Washington Redskins -2.5,42.0 (over),Brad Johnson,Stephen Davis,Michael Westbrook,James Jenkins,Andy Heck,Keith Sims,Cory Raymer,Tre' Johnson,Jon Jansen,Kenard Lang,Dan Wilkinson,Derek Smith,Champ Bailey,Sam Shade,Troy Aikman,Emmitt Smith,Rocket Ismail,David LaFleur,Flozell Adams,Larry Allen,Mark Stepnoski,Everett McIver,Erik Williams,Kavika Pittman,Chad Hennings,Darren Hambrick,Randall Godfrey,Dexter Coakley,Kevin Mathis,Charlie Williams,George Teague,Darren Woodson,30,25,34-186-1,30-135-2,28-49-362-5-3,20-34-382-2-0,1-7,2-13,355,369,541,504,1-0,3-2,3,2,9-99,8-45,9-17,2-10,1-2,0-0,35:50,28:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,September 12,1,1999,80,New York Jets,New England Patriots,Bill Parcells,Pete Carroll,0-1,1-0,outdoors,astroturf,New York Jets -7.0,44.5 (over),Vinny Testaverde,Curtis Martin,Quinn Early,Eric Green,Jumbo Elliott,Kerry Jenkins,Kevin Mawae,Randy Thomas,Jason Fabini,,,,,,Drew Bledsoe,Kevin Faulk,Terry Glenn,Ben Coates,Bruce Armstrong,Heath Irwin,Damien Woody,Todd Rucci,Zefross Moss,,,Chris Slade,Andy Katzenmoyer,Tedy Bruschi,Ty Law,Steve Israel,Lawyer Milloy,Chris Carter,16,19,27-70-1,24-106-0,21-30-340-1-1,20-36-289-3-3,2-14,4-32,326,257,396,363,2-1,3-1,2,4,6-43,6-40,7-14,7-13,0-1,1-2,29:01,30:59,Tony Carter,Brandon Mitchell,Chad Eaton,Willie McGinest,Henry Thomas,Aaron Glenn,Rick Lyle,Bryan Cox,Mo Lewis,Victor Green,Jason Ferguson,Ray Mickens,Anthony Pleasant,Marvin Jones,James Farrior,Steve Atwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,September 12,1,1999,80,Chicago Bears,Kansas City Chiefs,Dick Jauron,Gunther Cunningham,1-0,0-1,outdoors,grass,Kansas City Chiefs -3.0,38.0 (under),Shane Matthews,Curtis Enis,Curtis Conway,Alonzo Mayes,Blake Brockermeyer,Todd Perry,Olin Kreutz,Chris Villarrial,James Williams,,,,,,Elvis Grbac,Kimble Anders,Andre Rison,Lonnie Johnson,Glenn Parker,Dave Szott,Tim Grunhard,Will Shields,Victor Riley,,,,Marvcus Patton,,Cris Dishman,James Hasty,Reggie Tongue,Jerome Woods,17,22,17-71-0,28-81-0,20-42-283-1-1,31-47-322-2-0,1-5,1-15,278,307,349,388,1-0,2-2,1,2,7-40,6-44,4-12,10-18,0-2,0-0,25:17,34:43,Tony Richardson,Eric Hicks,Chester McGlockton,Leslie O'Neal,Tom Barndt,Walt Harris,Bryan Robinson,,,,,Tom Carter,Russell Davis,,,,Derrick Thomas,Donnie Edwards,Ty Hallock,Chris Hudson,Jim Flanigan,Sean Harris,Mike Wells,Ricardo McDonald,Tony Parrish,Barry Minter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,September 12,1,1999,80,New Orleans Saints,Carolina Panthers,Mike Ditka,George Seifert,1-0,0-1,dome,astroturf,New Orleans Saints -3.5,38.0 (under),Billy Joe Hobert,Ricky Williams,Eddie Kennison,Scott Slutzker,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,,,,,,Steve Beuerlein,Tim Biakabutuka,Muhsin Muhammad,Wesley Walls,Clarence Jones,Matt Campbell,Frank Garcia,Anthony Redmon,Chris Terry,,,Kevin Greene,Steve Tovar,Micheal Barrow,Eric Davis,Doug Evans,Brent Alexander,Mike Minter,12,13,16-85-0,41-147-0,16-32-207-1-1,11-22-132-1-0,7-46,4-24,161,108,246,255,2-2,1-0,3,0,6-40,4-26,2-12,5-17,0-0,0-0,27:08,32:52,William Floyd,Jason Peter,Tim Morabito,Chuck Wiley,Sean Gilbert,Ashley Ambrose,Troy Wilson,,,,,Tyronne Drakeford,Brady Smith,,,,,,Aaron Craver,Rob Kelly,Wayne Martin,Chris Bordano,La'Roi Glover,Keith Mitchell,Sammy Knight,Mark Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,September 12,1,1999,80,St. Louis Rams,Baltimore Ravens,Dick Vermeil,Brian Billick,1-0,0-1,dome,astroturf,Pick,39.0 (under),Kurt Warner,Robert Holcombe,Isaac Bruce,Roland Williams,Orlando Pace,Tom Nutten,Mike Gruttadauria,Adam Timmerman,Fred Miller,,,,,,Scott Mitchell,,Jermaine Lewis,Aaron Pierce,,,Jeff Mitchell,,,,,,,,DeRon Jenkins,Duane Starks,Kim Herring,Rod Woodson,13,23,15-60-0,25-59-0,17-40-188-1-2,28-44-309-3-2,5-25,3-25,163,284,223,343,1-0,1-1,2,3,11-106,7-65,4-14,7-14,0-0,0-0,22:35,37:25,Charles Evans,Michael McCrary,Larry Webster,,Tony Siragusa,Todd Lyght,Kevin Carter,,,,,Taje Allen,Grant Wistrom,,,,Peter Boulware,Ray Lewis,Marshall Faulk,Keith Lyle,Ray Agnew,London Fletcher,D'Marco Farr,,Billy Jenkins,,Jeff Blackshear,Jonathan Ogden,Mike Jones,Todd Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,September 12,1,1999,80,Indianapolis Colts,Buffalo Bills,Jim Mora,Wade Phillips,1-0,0-1,dome,astroturf,Buffalo Bills -3.0,45.5 (under),Peyton Manning,Edgerrin James,Marvin Harrison,Marcus Pollard,Tarik Glenn,Steve McKinney,Larry Moore,Waverly Jackson,Adam Meadows,,,,,,Doug Flutie,Thurman Thomas,Eric Moulds,Sheldon Jackson,John Fina,,Jerry Ostroski,Dusty Zeigler,Robert Hicks,,,,,,Ken Irvin,Thomas Smith,Henry Jones,Kurt Schulz,19,20,15-47-0,29-109-1,22-42-300-1-2,21-33-284-2-2,5-26,0-0,274,284,321,393,1-1,1-1,3,3,12-90,8-75,4-12,8-15,0-0,0-0,26:23,33:37,,Phil Hansen,,Bruce Smith,,Jeff Burris,Shawn King,,,,,Tyrone Poole,Chad Bratzke,,,,,,,Jason Belser,Bernard Whittington,Mike Barber,Ellis Johnson,,Chad Cota,,,,Cornelius Bennett,Andre Royal,Ruben Brown,John Holecek,Sam Rogers,Ted Washington,Sam Cowart,Gabe Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,September 12,1,1999,80,Green Bay Packers,Oakland Raiders,Ray Rhodes,Jon Gruden,1-0,0-1,outdoors,grass,Green Bay Packers -9.0,43.0 (over),Brett Favre,Dorsey Levens,Bill Schroeder,Mark Chmura,Ross Verba,Mike Wahle,Frank Winters,Marco Rivera,Earl Dotson,,,,,,Rich Gannon,Napoleon Kaufman,James Jett,Rickey Dudley,Mo Collins,Steve Wisniewski,Barret Robbins,Gennaro DiNapoli,Lincoln Kennedy,,,,Greg Biekert,,Charles Woodson,Eric Allen,Anthony Newman,Eric Turner,20,25,32-153-3,20-91-0,16-31-227-0-1,28-47-333-4-3,4-17,3-15,210,318,363,409,2-0,1-1,1,4,6-55,7-47,6-13,6-12,0-0,0-0,30:19,29:41,Jon Ritchie,James Harris,Russell Maryland,Lance Johnstone,Darrell Russell,Mike McKenzie,Vaughn Booker,,George Koonce,,Gilbert Brown,Tyrone Williams,Vonnie Holliday,,Brian Williams,,,,William Henderson,Darren Sharper,,Bernardo Harris,,,LeRoy Butler,,,,,,,,K.D. Williams,,,Richard Harvey,Santana Dotson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,September 12,1,1999,80,Tennessee Titans,Cincinnati Bengals,Jeff Fisher,Bruce Coslet,1-0,0-1,outdoors,grass,Tennessee Titans -9.0,42.0 (over),Steve McNair,Eddie George,Yancey Thigpen,Michael Roan,Brad Hopkins,Scott Sanderson,Bruce Matthews,Benji Olson,Jon Runyan,,,,,,Jeff Blake,Corey Dillon,Willie Jackson,Tony McGee,Rod Jones,Matt O'Dwyer,Rich Braham,Brian DeMarco,Willie Anderson,,,,,Adrian Ross,Charles Fisher,Artrell Hawkins,Myron Bell,Greg Myers,28,22,42-201-2,18-69-1,20-34-197-2-2,21-32-341-3-1,1-0,2-7,197,334,398,403,2-0,4-3,2,4,9-79,8-61,7-16,3-7,0-0,1-1,36:45,23:15,Brian Milne,John Copeland,,Jevon Langford,,Denard Walker,Jevon Kearse,,,,,Samari Rolle,Henry Ford,,,,,,,Marcus Robertson,Mike Jones,Barron Wortham,Jason Fisk,,Blaine Bishop,,,,Eddie Robinson,Joe Bowden,,Brian Simmons,Steve Foley,Oliver Gibson,Takeo Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,September 12,1,1999,80,Philadelphia Eagles,Arizona Cardinals,Andy Reid,Vince Tobin,0-1,1-0,outdoors,astroturf,Arizona Cardinals -3.0,37.0 (over),Doug Pederson,Duce Staley,Torrance Small,Jed Weaver,Tra Thomas,Doug Brzezinski,Steve Everitt,Jermane Mayberry,John Welbourn,,,,Bobby Taylor,,Jake Plummer,Adrian Murrell,Frank Sanders,Terry Hardy,Matt Joyce,Chris Dishman,Aaron Graham,Lester Holmes,James Dexter,,,,Ronald McKinnon,,Aeneas Williams,Corey Chavous,Tommy Bennett,Kwamie Lassiter,23,13,36-78-1,26-138-1,25-48-274-1-3,12-26-91-2-2,1-8,4-24,266,67,344,205,3-1,3-2,4,4,8-40,7-54,7-18,2-13,1-1,0-0,34:51,25:09,Joel Makovicka,Andre Wadsworth,Rashod Swinger,Simeon Rice,Jerry Drake,Troy Vincent,Greg Jefferson,,,,,Al Harris,Hugh Douglas,,,,Rob Fredrickson,Zack Walz,Kevin Turner,Brian Dawkins,Hollis Thomas,Jeremiah Trotter,Steve Martin,,Tim Hauck,,,,James Darling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,September 12,1,1999,80,Atlanta Falcons,Minnesota Vikings,Dan Reeves,Dennis Green,0-1,1-0,dome,astroturf,Minnesota Vikings -4.0,49.0 (under),Chris Chandler,Bob Christian,Terance Mathis,O.J. Santiago,Bob Whitfield,Bob Hallen,Robbie Tobeck,Gene Williams,Ephraim Salaam,Lester Archambeau,Shane Dronett,Jessie Tuggle,Ronnie Bradford,Eugene Robinson,Randall Cunningham,Robert Smith,Randy Moss,Andrew Glover,,,Jeff Christy,,,John Burrough,Tony Williams,,,,,,,,19,22,32-115-1,23-81-1,22-33-184-1-0,18-31-290-1-0,0-0,2-12,184,278,299,359,0-0,3-3,0,3,9-81,4-84,9-17,5-11,0-1,0-0,32:22,27:38,,,,,,,,,,,,,,,,,,,,,,,,,,,David Dixon,Korey Stringer,,,,,,,,,,Jimmy Hitchcock,Ed McDaniel,Robert Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,
