,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeUT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayDB,awayDE,awayLLB,awayRLB,homeFB,homeFL,homeLDT,homeLLB,homeRDT,homeRLB,awayDT,awayFB,awayLB,awayS,homeDE,homeHB,homeLC,homeLILB,homeLOLB,homeRC,homeRILB,homeROLB,homeSE,awayCB,homeDB,awayNT,homeCB,homeOLB,awayWILB,awayILB,awayOLB,homeDT,homeILB,awayLILB,awayLOLB,awayRILB,awayROLB,awayG,awayT,homeSILB,homeSOLB,homeWILB,homeWOLB,homeG,homeT,awayHB,homeLB,homeLS,homeRS,awayDL,awayLC,awayRC,awayD,awaySILB,awaySOLB,homeXR,homeZR,awayUT,homeDL,awaySAM,awayWILL,awayLS,awayRS,homeM,awayWOLB,homeS,awayB,awayZ,awayWIL,homeSAM,homeWIL,homeOT,awayFL,awaySE,homeNG,awayOT,homeOL,homeWILL,awayOG,awayOL
0,September 3,1,2000,81,Minnesota Vikings,Chicago Bears,30,27,Dennis Green,Dick Jauron,1-0,0-1,dome,astroturf,Minnesota Vikings -4.5,46.5 (over),Daunte Culpepper,Robert Smith,Cris Carter,Andrew Jordan,Todd Steussie,Chris Liwienski,Matt Birk,David Dixon,Korey Stringer,John Burrough,John Randle,Tony Williams,Talance Sawyer,Dwayne Rudd,Kailee Wong,Ed McDaniel,Cris Dishman,Robert Tate,Robert Griffith,Orlando Thomas,Cade McNown,Curtis Enis,Bobby Engram,Alonzo Mayes,Blake Brockermeyer,Todd Perry,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Jim Flanigan,Mike Wells,Phillip Daniels,Rosevelt Colvin,Barry Minter,Warrick Holdman,Walt Harris,Thomas Smith,Tony Parrish,Mike Brown,23,17,25-153-1,30-186-3,27-41-290-2-0,13-23-190-0-1,2-18,1-2,272,188,425,374,2-1,2-0,1,1,5-45,4-20,9-15,6-13,0-0,0-0,32:34,27:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,September 3,1,2000,81,Kansas City Chiefs,Indianapolis Colts,14,27,Gunther Cunningham,Jim Mora,0-1,1-0,outdoors,grass,Indianapolis Colts -3.5,44.0 (under),Elvis Grbac,Tony Richardson,Kevin Lockett,Tony Gonzalez,John Tait,Dave Szott,Tim Grunhard,Will Shields,Victor Riley,Eric Hicks,,,Duane Clemons,,Marvcus Patton,,Eric Warfield,James Hasty,Greg Wesley,Jerome Woods,Peyton Manning,Edgerrin James,Marcus Pollard,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,Bernard Whittington,Ellis Johnson,,,Dwight Hollier,,,Tyrone Poole,Chad Cota,Jason Belser,20,17,32-119-1,24-74-0,22-32-273-1-1,16-37-212-2-1,1-6,1-6,267,206,386,280,1-1,0-0,2,1,7-78,6-50,6-13,5-15,0-0,0-1,33:13,26:47,Jeff Burris,Chad Bratzke,Cornelius Bennett,Mike Peterson,Donnell Bennett,Derrick Alexander,Chester McGlockton,Lewis Bush,John Browning,Donnie Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,September 3,1,2000,81,Washington Redskins,Carolina Panthers,20,17,Norv Turner,George Seifert,1-0,0-1,outdoors,grass,Washington Redskins -10.5,47.5 (under),Brad Johnson,Stephen Davis,Albert Connell,Stephen Alexander,Chris Samuels,Keith Sims,Mark Fischer,Jay Leeuwenburg,Jon Jansen,Marco Coleman,,,Bruce Smith,Greg Jones,Derek Smith,Shawn Barber,Champ Bailey,Deion Sanders,Sam Shade,Mark Carrier,Steve Beuerlein,Tim Biakabutuka,Donald Hayes,Wesley Walls,Clarence Jones,Jamar Nesbit,Frank Garcia,,,,,,,Dean Wells,Lester Towns,,Eric Davis,Doug Evans,Mike Minter,,12,23,20-112-0,31-162-2,17-26-183-1-0,25-36-234-0-0,6-59,0-0,124,234,236,396,1-1,0-0,1,0,9-65,7-64,2-11,5-12,1-1,0-1,26:46,33:14,,Chuck Smith,,,,,Dan Wilkinson,,Dana Stubblefield,,Eric Swann,William Floyd,Lee Woodall,Eugene Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,September 3,1,2000,81,Atlanta Falcons,San Francisco 49ers,36,28,Dan Reeves,Steve Mariucci,1-0,0-1,dome,astroturf,Atlanta Falcons -6.5,46.5 (over),Chris Chandler,Jamal Anderson,Shawn Jefferson,Reggie Kelly,Bob Whitfield,Bob Hallen,Calvin Collins,Anthony Redmon,Travis Claridge,Travis Hall,,,Patrick Kerney,Henri Crockett,Jessie Tuggle,Keith Brooking,Ray Buchanan,Ashley Ambrose,Marty Carter,Ronnie Bradford,Jeff Garcia,Charlie Garner,Jerry Rice,Greg Clark,Derrick Deese,Ray Brown,Jeremy Newberry,Dave Fiore,Scott Gragg,Anthony Pleasant,Bryant Young,Brentson Buckner,Junior Bryant,Winfred Tubbs,Ken Norton Jr.,Jeff Posey,Ahmed Plummer,Monty Montgomery,Lance Schulters,Pierson Prioleau,23,22,24-92-1,32-95-0,23-36-253-3-1,16-31-264-2-0,1-6,0-0,247,264,339,359,3-0,2-1,1,1,7-42,4-51,2-9,4-11,0-1,0-0,28:21,31:39,,,,,Bob Christian,,Ed Jasper,,Shane Dronett,,,Fred Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,September 3,1,2000,81,Pittsburgh Steelers,Baltimore Ravens,0,16,Bill Cowher,Brian Billick,0-1,1-0,outdoors,astroturf,Baltimore Ravens -2.5,37.0 (under),Kent Graham,,,Mark Bruener,Wayne Gandy,Alan Faneca,Dermontti Dawson,Rich Tylski,Marvel Smith,Aaron Smith,,Kimo von Oelhoffen,,,,,,,Lee Flowers,Brent Alexander,Tony Banks,Priest Holmes,Qadry Ismail,Ben Coates,Jonathan Ogden,Edwin Mulitalo,Jeff Mitchell,Mike Flynn,Harry Swayne,Rob Burnett,Sam Adams,Tony Siragusa,Michael McCrary,,Ray Lewis,,Duane Starks,Chris McAlister,Kim Herring,Rod Woodson,18,12,36-140-0,18-30-0,18-32-199-1-0,17-39-199-0-0,1-3,1-6,196,193,336,223,0-0,3-1,0,1,6-42,2-15,5-16,4-14,1-1,0-2,35:07,24:53,,,Cornell Brown,Jamie Sharper,Jon Witman,Troy Edwards,,,,,,Obafemi Ayanbadejo,,,Kevin Henry,Jerome Bettis,Chad Scott,Levon Kirkland,Jason Gildon,Dewayne Washington,Earl Holmes,Joey Porter,Plaxico Burress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,September 3,1,2000,81,Cleveland Browns,Jacksonville Jaguars,7,27,Chris Palmer,Tom Coughlin,0-1,1-0,outdoors,grass,Jacksonville Jaguars -10.5,38.5 (under),Tim Couch,Errict Rhett,Kevin Johnson,,Roman Oben,Jim Pyne,Dave Wohlabaugh,Everett Lindsay,Steve Zahursky,Courtney Brown,,,Keith McKenzie,,Wali Rainer,Jamir Miller,Corey Fuller,Daylon McCutcheon,Marquis Smith,Percy Ellsworth,Mark Brunell,Stacey Mack,Keenan McCardell,Kyle Brady,Tony Boselli,Brad Meester,Quentin Neujahr,Brendan Stai,Zach Wiegert,Renaldo Wynn,,,Tony Brackens,,Hardy Nickerson,Kevin Hardy,Fernando Bryant,Aaron Beasley,Donovin Darius,Rayna Stewart,28,9,40-119-2,16-96-0,24-34-301-1-0,19-27-160-1-0,4-22,1-7,279,153,398,249,1-0,1-1,0,1,1-5,3-25,10-16,3-10,0-0,1-2,37:03,22:57,,,,,Marc Edwards,,Stalin Colinet,,Orpheus Roye,,Gary Walker,,,,,,,,,,,,,Kiwaukee Thomas,Raymond Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,September 3,1,2000,81,New England Patriots,Tampa Bay Buccaneers,16,21,Bill Belichick,Tony Dungy,0-1,1-0,outdoors,grass,Tampa Bay Buccaneers -3.0,36.0 (over),Drew Bledsoe,Kevin Faulk,Tony Simmons,Eric Bjornson,Bruce Armstrong,Derrick Fletcher,Damien Woody,Max Lane,Grant Williams,Willie McGinest,,Chad Eaton,Bobby Hamilton,Chris Slade,Andy Katzenmoyer,Tedy Bruschi,Ty Law,Antonio Langham,Lawyer Milloy,Tebucky Jones,Shaun King,Warrick Dunn,Keyshawn Johnson,Dave Moore,Pete Pierson,Randall McDaniel,Jeff Christy,Frank Middleton,Jerry Wunsch,Chidi Ahanotu,,,Marcus Jones,Shelton Quarles,Jamie Duncan,Derrick Brooks,Donnie Abraham,Ronde Barber,John Lynch,Damien Robinson,17,14,38-140-2,21-88-0,12-24-167-1-0,26-39-216-1-0,1-11,6-26,156,190,296,278,2-1,2-1,1,1,4-25,5-33,6-16,4-17,0-0,1-2,31:35,28:25,,,,,,,,,,,Anthony McFarland,Mike Alstott,,,Brandon Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,September 3,1,2000,81,New Orleans Saints,Detroit Lions,10,14,Jim Haslett,Bobby Ross,0-1,1-0,dome,astroturf,Pick,40.5 (under),Jeff Blake,Ricky Williams,Jake Reed,Andrew Glover,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,,,Joe Johnson,,,,Kevin Mathis,Fred Weary,Sammy Knight,Darren Perry,Stoney Case,James Stewart,Germane Crowell,David Sloan,Ray Roberts,Tony Semple,Mike Compton,Jeff Hartings,Aaron Gibson,Robert Porcher,,,Tracy Scroggins,Allen Aldridge,Stephen Boyd,Chris Claiborne,Bryant Westbrook,Terry Fair,Ron Rice,Kurt Schulz,10,13,32-98-0,25-106-0,13-25-100-0-1,18-34-169-0-1,2-11,5-23,89,146,187,252,2-1,5-2,2,3,8-74,12-89,4-16,6-17,0-1,0-1,30:49,29:11,,,,,Terrelle Smith,,Norman Hand,,La'Roi Glover,,Luther Elliss,,,,,,,,Keith Mitchell,,,Mark Fields,,,,James Jones,Corey Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,September 3,1,2000,81,New York Giants,Arizona Cardinals,21,16,Jim Fassel,Dave McGinnis,1-0,0-1,outdoors,grass,New York Giants -6.5,40.0 (under),Kerry Collins,Tiki Barber,Ike Hilliard,Dan Campbell,Lomas Brown,Glenn Parker,Dusty Zeigler,Ron Stone,Luke Petitgout,Michael Strahan,,,Cedric Jones,,Micheal Barrow,,Dave Thomas,Jason Sehorn,Sam Garnes,Shaun Williams,Jake Plummer,Thomas Jones,Frank Sanders,Terry Hardy,L.J. Shelton,Matt Joyce,Chris Dishman,Lester Holmes,Anthony Clement,Brad Ottis,Tony McCoy,Mark Smith,Corey Sears,,Ronald McKinnon,,Aeneas Williams,Tom Knight,Pat Tillman,Kwamie Lassiter,19,20,20-43-0,41-223-3,28-49-318-2-3,17-25-172-0-1,1-6,0-0,312,172,355,395,2-1,3-1,4,2,1-5,9-68,6-15,7-14,0-2,0-0,28:30,31:30,,,Raynoch Thompson,Rob Fredrickson,,,Christian Peter,,Keith Hamilton,,,,,,,,,,,,,,,,,,,Ryan Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,September 3,1,2000,81,Dallas Cowboys,Philadelphia Eagles,14,41,Dave Campo,Andy Reid,0-1,1-0,outdoors,astroturf,Dallas Cowboys -6.0,39.5 (over),Troy Aikman,Emmitt Smith,Rocket Ismail,Jackie Harris,Flozell Adams,Larry Allen,Mark Stepnoski,Solomon Page,Erik Williams,Ebenezer Ekuban,,,Greg Ellis,Darren Hambrick,Dat Nguyen,Dexter Coakley,Kareem Larrimore,Ryan McNeil,Darren Woodson,George Teague,Donovan McNabb,Duce Staley,Torrance Small,Chad Lewis,Tra Thomas,John Welbourn,Bubba Miller,Jermane Mayberry,Jon Runyan,Mike Mamula,Hollis Thomas,Corey Simon,Hugh Douglas,,Jeremiah Trotter,,Troy Vincent,Bobby Taylor,Damon Moore,Brian Dawkins,27,10,46-306-3,13-67-0,16-29-130-1-3,13-31-135-1-2,1-11,5-35,119,100,425,167,0-0,0-0,3,2,4-25,9-93,7-12,4-13,0-0,0-0,39:30,20:30,,,,,Robert Thomas,,Alonzo Spellman,,Chad Hennings,,,Cecil Martin,,,,,,,,,,,,Al Harris,,,,,Mike Caldwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
