,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeZ,homeX,homeQB,homeRB,homeFB,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeNT,homeRDE,homeLOLB,homeMLB,homeROLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayLOLB,awayMLB,awayROLB,awayLCB,awayRCB,awaySS,awayFS,awayFB,awayHB,awayNT,awayUT,awayXR,awayZR,homeDT,homeSLB,homeWLB,homeWR,awayDT,awaySLB,awayWLB,homeUT,awayOLB,homeHB,homeRDT,awayDB,homeLLB,homeRLB,awayLLB,awayRLB,awayLILB,awayRILB,homeLC,homeLILB,homeRC,homeRILB,homeSAM,homeWILL,homeCB,awayDE,awayDL,homeOLB,awayCB,homeLB,homeDE,homeXTE,homeXR,homeZR,awayS,awayTE/F,awaySAM,awayWILL,awayILB,homeTE/F,homeT,awayLB,awayFL,awaySE,homeDB,homeS,homeFL,homeSE,homeILB,homeH-B,homeXWR,homeSSLB,awaySSLB
0,2001,September 9,1,Kansas City Chiefs,Oakland Raiders,Dick Vermeil,Jon Gruden,0-1,1-0,outdoors,grass,Oakland Raiders -3.0,43.0 (over),Derrick Alexander,Snoop Minnis,Trent Green,Priest Holmes,Tony Richardson,Tony Gonzalez,John Tait,Marcus Spears,Brian Waters,Will Shields,Victor Riley,Eric Hicks,John Browning,Derrick Ransom,Duane Clemons,Lewis Bush,Marvcus Patton,Donnie Edwards,Ray Crockett,Eric Warfield,Greg Wesley,Jerome Woods,Rich Gannon,Tyrone Wheatley,Jerry Rice,Roland Williams,Barry Sims,Steve Wisniewski,Barret Robbins,Mo Collins,Lincoln Kennedy,Regan Upshaw,Josh Taves,Grady Jackson,Tony Bryant,William Thomas,Greg Biekert,Elijah Alexander,Charles Woodson,Eric Allen,Marquez Pope,Anthony Dorsett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,September 9,1,Green Bay Packers,Detroit Lions,Mike Sherman,Marty Mornhinweg,1-0,0-1,outdoors,grass,Green Bay Packers -5.5,41.5 (under),,,Brett Favre,Ahman Green,,,Chad Clifton,Mike Wahle,Mike Flanagan,Marco Rivera,Mark Tauscher,Vonnie Holliday,,Gilbert Brown,John Thierry,,Bernardo Harris,,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,Charlie Batch,,,David Sloan,Jeff Backus,Stockar McDougle,Eric Beverly,Brendan Stai,Aaron Gibson,Robert Porcher,,,Tracy Scroggins,Allen Aldridge,Stephen Boyd,,Todd Lyght,Terry Fair,Tommy Bennett,Lamar Campbell,Cory Schlesinger,James Stewart,Travis Kirschke,Shaun Rogers,Johnnie Morton,Herman Moore,Jim Flanigan,Na'il Diggs,Nate Wayne,Antonio Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2001,September 9,1,Dallas Cowboys,Tampa Bay Buccaneers,Dave Campo,Tony Dungy,0-1,1-0,outdoors,astroturf,Tampa Bay Buccaneers -9.0,34.0 (under),,,Quincy Carter,Emmitt Smith,Robert Thomas,Jackie Harris,Flozell Adams,Larry Allen,Mark Stepnoski,Kelvin Garmon,Solomon Page,Greg Ellis,,Brandon Noble,Ebenezer Ekuban,,Dat Nguyen,,Izell Reese,Mario Edwards,Darren Woodson,George Teague,Brad Johnson,Warrick Dunn,Jacquez Green,Dave Moore,Kenyatta Walker,Randall McDaniel,Todd Washington,Cosey Coleman,Jerry Wunsch,Marcus Jones,Anthony McFarland,,Simeon Rice,,Jamie Duncan,,Donnie Abraham,Ronde Barber,John Lynch,Dexter Jackson,Mike Alstott,,,,,,Michael Myers,Darren Hambrick,Dexter Coakley,Rocket Ismail,Warren Sapp,Shelton Quarles,Derrick Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2001,September 9,1,Minnesota Vikings,Carolina Panthers,Dennis Green,George Seifert,0-1,1-0,dome,astroturf,Minnesota Vikings -10.0,45.0 (under),,,Daunte Culpepper,Michael Bennett,Jim Kleinsasser,Byron Chamberlain,Brad Badger,Corbin Lacina,Matt Birk,David Dixon,Chris Liwienski,Talance Sawyer,,Fred Robbins,Lance Johnstone,,Kailee Wong,,Kenny Wright,Robert Tate,Robert Griffith,Orlando Thomas,Chris Weinke,Tim Biakabutuka,Muhsin Muhammad,Kris Mangum,Todd Steussie,Jamar Nesbit,Jeff Mitchell,Kevin Donnalley,Chris Terry,Jay Williams,Sean Gilbert,Kris Jenkins,Mike Rucker,,Lester Towns,,Rashard Anderson,Doug Evans,Damien Richardson,Deon Grant,,,,,,,,Patrick Chukwurah,Ed McDaniel,Randy Moss,,Hannibal Navies,Dan Morgan,Chris Hovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2001,September 9,1,Cleveland Browns,Seattle Seahawks,Butch Davis,Mike Holmgren,0-1,1-0,outdoors,grass,Seattle Seahawks -4.0,38.5 (under),,,Tim Couch,James Jackson,,Rickey Dudley,Roman Oben,Ross Verba,Dave Wohlabaugh,Tre' Johnson,Roger Chanoine,Orpheus Roye,Gerard Warren,,Keith McKenzie,,Wali Rainer,,Corey Fuller,Daylon McCutcheon,Earl Little,Percy Ellsworth,Matt Hasselbeck,Ricky Watters,Darrell Jackson,Christian Fauria,Walter Jones,Steve Hutchinson,Robbie Tobeck,Chris Gray,Todd Weiner,Michael Sinclair,Chad Eaton,John Randle,John Hilliard,,Levon Kirkland,,Paul Miranda,Ken Lucas,Reggie Tongue,Marcus Robertson,Mack Strong,,,,,,,Jamir Miller,Dwayne Rudd,Quincy Morgan,,,,,Anthony Simmons,Mike Sellers,Mark Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2001,September 9,1,Baltimore Ravens,Chicago Bears,Brian Billick,Dick Jauron,1-0,0-1,outdoors,grass,Baltimore Ravens -10.5,33.5 (under),,,Elvis Grbac,,Obafemi Ayanbadejo,Shannon Sharpe,Jonathan Ogden,Edwin Mulitalo,Mike Flynn,Kipp Vickers,Sammy Williams,Rob Burnett,Sam Adams,,Michael McCrary,,Ray Lewis,,James Trapp,Chris McAlister,Corey Harris,Rod Woodson,Shane Matthews,James Allen,Dez White,Fred Baxter,Blake Brockermeyer,Rex Tucker,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Ted Washington,Keith Traylor,Phillip Daniels,,Brian Urlacher,,Walt Harris,R.W. McQuarters,Michael Green,Mike Brown,Daimon Shelton,,,,,,,,,Jermaine Lewis,,,Warrick Holdman,,,,Tony Siragusa,Jerry Azumah,Peter Boulware,Jamie Sharper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2001,September 9,1,Cincinnati Bengals,New England Patriots,Dick LeBeau,Bill Belichick,1-0,0-1,outdoors,grass,Pick,36.0 (over),,,Jon Kitna,,Lorenzo Neal,Tony McGee,Richmond Webb,Matt O'Dwyer,Rich Braham,Mike Goff,Willie Anderson,Vaughn Booker,Oliver Gibson,,Reinard Wilson,,Brian Simmons,,Rodney Heath,Artrell Hawkins,Cory Hall,Chris Carter,Drew Bledsoe,Antowain Smith,David Patten,Rod Rutledge,Grant Williams,Mike Compton,Damien Woody,Joe Andruzzi,Greg Randall,Bobby Hamilton,,,Roman Phifer,,Bryan Cox,,Ty Law,Otis Smith,Lawyer Milloy,Matt Stevens,Marc Edwards,,Jace Sayler,,,,,,,Darnay Scott,Anthony Pleasant,Mike Vrabel,Tedy Bruschi,,,Corey Dillon,Tony Williams,,Steve Foley,Takeo Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2001,September 9,1,New York Jets,Indianapolis Colts,Herm Edwards,Jim Mora,0-1,1-0,outdoors,grass,Indianapolis Colts -1.5,44.5 (over),,,Vinny Testaverde,Curtis Martin,Richie Anderson,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,John Abraham,Shaun Ellis,James Reed,Rick Lyle,,Marvin Jones,,Aaron Glenn,Marcus Coleman,Victor Green,Damien Robinson,Peyton Manning,Edgerrin James,Jerome Pathon,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Brad Scioli,Josh Williams,Ellis Johnson,Chad Bratzke,,Rob Morris,,Jeff Burris,David Macklin,Chad Cota,Idrees Bashir,,Marcus Pollard,,,,,,,,Laveranues Coles,,,,,,,,,Mo Lewis,James Farrior,Marcus Washington,Mike Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2001,September 9,1,Jacksonville Jaguars,Pittsburgh Steelers,Tom Coughlin,Bill Cowher,1-0,0-1,outdoors,grass,Jacksonville Jaguars -3.0,37.5 (under),,,Mark Brunell,Fred Taylor,,Kyle Brady,Tony Boselli,Brad Meester,,Zach Wiegert,Maurice Williams,Renaldo Wynn,Gary Walker,,Paul Spicer,,Hardy Nickerson,,Fernando Bryant,Aaron Beasley,Donovin Darius,Marlon McCree,Kordell Stewart,Jerome Bettis,Plaxico Burress,Mark Bruener,Wayne Gandy,Alan Faneca,Jeff Hartings,Rich Tylski,Marvel Smith,Aaron Smith,,,Kimo von Oelhoffen,Jason Gildon,,Joey Porter,Deshea Townsend,Dewayne Washington,Lee Flowers,Brent Alexander,Jon Witman,,Kendrick Clancy,,,,,Kevin Hardy,T.J. Slaughter,Keenan McCardell,,,,,,,Seth Payne,,,,,,Earl Holmes,Kendrell Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2001,September 9,1,Buffalo Bills,New Orleans Saints,Gregg Williams,Jim Haslett,0-1,1-0,outdoors,astroturf,New Orleans Saints -1.5,37.5 (under),,,Rob Johnson,,,Sheldon Jackson,John Fina,Ruben Brown,Bill Conaty,Corey Hulsey,Jonas Jennings,Phil Hansen,Shawn Price,,Erik Flowers,,Sam Cowart,,Antoine Winfield,Ken Irvin,Raion Hill,Keion Carpenter,Aaron Brooks,Ricky Williams,Willie Jackson,Cam Cleeland,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,Norman Hand,La'Roi Glover,Joe Johnson,,Charlie Clemons,,Kevin Mathis,Fred Thomas,Sammy Knight,Jay Bellamy,Terrelle Smith,,,,,,,Keith Newman,Jay Foreman,Eric Moulds,,,,,,Travis Henry,Pat Williams,,,,Keith Mitchell,Darrin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
