,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeOLB,homeMLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayLOLB,awayLILB,awayRILB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayILB,awayNT,awayOLB,homeDT,homeFB,homeNT,homeSLB,homeWLB,awayMLB,awaySLB,awayWLB,homeDB,homeHB,homeLLB,homeRLB,homeLOT,homeROT,awayHB,awayUT,awayROLB,awayX,awayZ,awayLLB,awayRLB,awaySAM,awayWILL,awayDB,awayDT,awayS,homeCB,homeDE,homeBLB,homeLOLB,homeROLB,awayDE,homeZ,homeLILB,homeRILB,awayLOT,awayROT,homeILB,awayCB,awayBLB,homeUT,homeSAM,homeWIL,homeX,awayFL,awaySE,homeLB,homeFL,homeSE,homeS,awayWIL,awayLB,awayE,awayT,homeDL
0,September 5,1,2002,83,New York Giants,San Francisco 49ers,13,16,Jim Fassel,Steve Mariucci,0-1,1-0,outdoors,grass,San Francisco 49ers -4.0,39.0 (under),Kerry Collins,Tiki Barber,Ike Hilliard,Jeremy Shockey,Luke Petitgout,Rich Seubert,Chris Bober,Jason Whittle,Mike Rosenthal,Michael Strahan,Cornelius Griffin,Keith Hamilton,Kenny Holmes,Daryl Jones,Micheal Barrow,Will Allen,Will Peterson,Shaun Williams,Omar Stoutmire,Jeff Garcia,Garrison Hearst,J.J. Stokes,Eric Johnson,Derrick Deese,Dave Fiore,Jeremy Newberry,Ron Stone,Scott Gragg,Chike Okeafor,Bryant Young,Dana Stubblefield,Andre Carter,Julian Peterson,Derek Smith,Jamie Winborn,Ahmed Plummer,Jason Webster,Tony Parrish,Zack Bronson,13,21,25-113-0,22-43-1,16-26-166-1-1,28-45-342-0-3,0-0,3-24,166,318,279,361,0-0,0-0,1,3,5-29,10-80,4-12,9-16,0-0,0-1,27:32,32:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,September 8,1,2002,83,Green Bay Packers,Atlanta Falcons,37,34,Mike Sherman,Dan Reeves,1-0,0-1,outdoors,grass,Green Bay Packers -7.0,42.5 (over),Brett Favre,Ahman Green,Terry Glenn,Bubba Franks,Chad Clifton,Mike Wahle,Frank Winters,Marco Rivera,Mark Tauscher,Vonnie Holliday,,,Joe Johnson,,Hardy Nickerson,Mike McKenzie,Tyrone Williams,Antuan Edwards,Darren Sharper,Michael Vick,Warrick Dunn,Brian Finneran,Reggie Kelly,Bob Whitfield,Travis Claridge,Todd McClure,Roberto Garza,Todd Weiner,Patrick Kerney,,,Brady Smith,,,,Ray Buchanan,Ashley Ambrose,Gerald McBurrows,Keion Carpenter,22,29,30-180-3,38-211-2,15-23-209-1-0,25-36-284-2-0,4-15,2-11,194,273,374,484,2-1,3-1,1,1,4-82,3-15,4-8,8-15,0-0,1-1,30:55,38:50,Bob Christian,John Holecek,Ed Jasper,John Thierry,Cletidus Hunt,William Henderson,Gilbert Brown,Na'il Diggs,Nate Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,September 8,1,2002,83,Buffalo Bills,New York Jets,31,37,Gregg Williams,Herm Edwards,0-1,1-0,outdoors,astroturf,New York Jets -3.0,43.0 (over),Drew Bledsoe,,Eric Moulds,Jay Riemersma,Jonas Jennings,Ruben Brown,Trey Teague,Marques Sullivan,Mike Williams,Chidi Ahanotu,Ron Edwards,Pat Williams,Aaron Schobel,,,Antoine Winfield,Nate Clements,Coy Wire,Pierson Prioleau,Vinny Testaverde,Curtis Martin,Santana Moss,,Jason Fabini,J.P. Machado,Kevin Mawae,Randy Thomas,Kareem McKenzie,Shaun Ellis,Josh Evans,,John Abraham,,,,Donnie Abraham,Aaron Beasley,Sam Garnes,Damien Robinson,18,26,14-73-0,32-142-3,24-30-210-2-0,26-39-271-1-2,3-17,4-29,193,242,266,384,1-1,1-1,1,3,10-90,10-82,2-8,7-17,0-0,2-2,21:06,39:08,Richie Anderson,,Jason Ferguson,,,Larry Centers,,,,Marvin Jones,Mo Lewis,Sam Cowart,Chris Watson,Travis Henry,London Fletcher,Eddie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,September 8,1,2002,83,Cincinnati Bengals,San Diego Chargers,6,34,Dick LeBeau,Marty Schottenheimer,0-1,1-0,outdoors,grass,Cincinnati Bengals -3.0,37.0 (over),Gus Frerotte,,T.J. Houshmandzadeh,Levi Jones,,Matt O'Dwyer,Rich Braham,Mike Goff,,Vaughn Booker,Oliver Gibson,Tony Williams,Justin Smith,,Brian Simmons,Jeff Burris,Artrell Hawkins,Cory Hall,Mark Roman,Drew Brees,LaDainian Tomlinson,Tim Dwight,Stephen Alexander,Damion McIntosh,Bob Hallen,Cory Raymer,Toniu Fonoti,Vaughn Parker,Marcellus Wiley,Jamal Williams,Jason Fisk,Raylee Johnson,,,,Alex Molden,Ryan McNeil,Rodney Harrison,Rogers Beckett,27,13,45-241-2,13-36-0,15-19-160-2-0,18-31-198-0-1,1-0,4-31,160,167,401,203,0-0,0-0,0,1,4-39,9-57,6-10,4-11,0-0,0-0,37:48,22:12,Fred McCrary,,,,,,,,,Donnie Edwards,Ben Leber,Junior Seau,,Corey Dillon,Canute Curtis,Takeo Spikes,Richmond Webb,Willie Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,September 8,1,2002,83,Miami Dolphins,Detroit Lions,49,21,Dave Wannstedt,Marty Mornhinweg,1-0,0-1,outdoors,grass,Miami Dolphins -9.5,35.5 (over),Jay Fiedler,Ricky Williams,Chris Chambers,Randy McMichael,Mark Dixon,Jamie Nails,Tim Ruddy,Todd Perry,Todd Wade,Adewale Ogunleye,Tim Bowens,Larry Chester,Jason Taylor,,Zach Thomas,Patrick Surtain,Sam Madison,Arturo Freeman,Brock Marion,Mike McMahon,Lamont Warren,Az-Zahir Hakim,Mikhael Ricks,Jeff Backus,Tony Semple,Dominic Raiola,Ray Brown,Kerlin Blaise,Robert Porcher,Luther Elliss,Shaun Rogers,James Hall,,,,Eric Davis,Todd Lyght,Corey Harris,Brian Walker,15,27,19-51-2,41-182-3,17-36-220-1-1,18-27-207-3-0,3-14,0-0,206,207,257,389,2-1,2-0,2,0,6-68,4-54,7-14,6-12,0-1,1-1,25:36,34:24,Aveion Cason,,,,,Rob Konrad,,Morlon Greenwood,Derrick Rodgers,Chris Claiborne,Brian Williams,Barrett Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,September 8,1,2002,83,Jacksonville Jaguars,Indianapolis Colts,25,28,Tom Coughlin,Tony Dungy,0-1,1-0,outdoors,grass,Indianapolis Colts -3.5,44.0 (over),Mark Brunell,Fred Taylor,Patrick Johnson,Kyle Brady,Zach Wiegert,Brad Meester,John Wade,Chris Naeole,Maurice Williams,Marco Coleman,Marcus Stroud,Larry Smith,Tony Brackens,,Wali Rainer,Fernando Bryant,Jason Craft,Donovin Darius,Marlon McCree,Peyton Manning,Edgerrin James,Marvin Harrison,Marcus Pollard,Tarik Glenn,Rick DeMulling,Jeff Saturday,Ryan Diem,Adam Meadows,Brad Scioli,Larry Tripplett,James Cannida,Chad Bratzke,,,,Walt Harris,David Macklin,Cory Bird,Idrees Bashir,18,19,28-104-0,32-118-1,19-31-211-3-0,22-36-228-2-1,1-8,1-3,203,225,307,343,2-2,3-1,2,2,2-14,5-40,9-14,8-16,0-0,3-3,27:27,32:33,,,,,,Patrick Washington,,Danny Clark,Eric Westmoreland,Rob Morris,Mike Peterson,Marcus Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,September 8,1,2002,83,Chicago Bears,Minnesota Vikings,27,23,Dick Jauron,Mike Tice,1-0,0-1,outdoors,astroplay,Chicago Bears -4.5,41.0 (over),Jim Miller,Anthony Thomas,Marty Booker,Fred Baxter,Bernard Robertson,Rex Tucker,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Ted Washington,Keith Traylor,Phillip Daniels,,Brian Urlacher,R.W. McQuarters,Jerry Azumah,Michael Green,Mike Brown,Daunte Culpepper,Michael Bennett,D'Wayne Bates,Byron Chamberlain,Everett Lindsay,Corbin Lacina,Matt Birk,David Dixon,Chris Liwienski,Kenny Mixon,,,Lance Johnstone,,,,Corey Chavous,Eric Kelly,Willie Offord,Ronnie Bradford,19,20,33-140-1,26-80-1,16-28-234-1-2,20-33-297-2-1,1-6,1-9,228,288,368,368,2-1,1-1,3,2,8-52,4-33,5-13,7-13,0-0,0-0,31:31,28:29,,,Fred Robbins,,,Stanley Pritchett,,Rosevelt Colvin,Warrick Holdman,Greg Biekert,Patrick Chukwurah,Henri Crockett,,,,,,,Jim Kleinsasser,Chris Hovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,September 8,1,2002,83,Carolina Panthers,Baltimore Ravens,10,7,John Fox,Brian Billick,1-0,0-1,outdoors,grass,Pick,33.0 (under),Rodney Peete,Lamar Smith,Muhsin Muhammad,Wesley Walls,Todd Steussie,Jeno James,Jeff Mitchell,Kevin Donnalley,Chris Terry,Julius Peppers,Brentson Buckner,Kris Jenkins,Mike Rucker,,Dan Morgan,Terry Cousin,Reggie Howard,Mike Minter,Deon Grant,Chris Redman,Jamal Lewis,Brandon Stokley,Todd Heap,,Casey Rabach,Mike Flynn,Bennie Anderson,Edwin Mulitalo,Ma'ake Kemoeatu,,,Anthony Weaver,Shannon Taylor,Ed Hartwell,Ray Lewis,Chris McAlister,Alvin Porter,Anthony Mitchell,Ed Reed,15,15,19-77-0,36-145-0,20-34-218-1-1,12-19-136-1-0,2-6,2-16,212,120,289,265,0-0,1-0,1,0,6-45,6-35,5-14,5-14,0-0,0-0,26:09,33:51,Alan Ricard,,Kelly Gregg,,,,,Mark Fields,Hannibal Navies,,,,,,,,,,,,Peter Boulware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,September 8,1,2002,83,Cleveland Browns,Kansas City Chiefs,39,40,Butch Davis,Dick Vermeil,0-1,1-0,outdoors,grass,Cleveland Browns -2.0,36.0 (over),Kelly Holcomb,Jamel White,Quincy Morgan,Darnell Sanders,Ross Verba,Barry Stokes,Dave Wohlabaugh,Shaun O'Hara,Ryan Tucker,Tyrone Rogers,Gerard Warren,Orpheus Roye,Courtney Brown,,Earl Holmes,Corey Fuller,Daylon McCutcheon,Robert Griffith,Devin Bush Sr.,Trent Green,Priest Holmes,,Jason Dunn,Willie Roaf,Brian Waters,Casey Wiegmann,Will Shields,John Tait,Eric Hicks,John Browning,,Duane Clemons,Lewis Bush,,,Eric Warfield,William Bartee,Greg Wesley,Jason Belser,24,24,30-194-4,20-59-0,20-29-276-1-1,28-40-359-4-0,0-0,1-7,276,352,470,411,0-0,1-1,1,1,9-87,4-38,5-11,4-11,0-0,0-0,30:16,29:44,,,Derrick Ransom,,,,,Darren Hambrick,Dwayne Rudd,Marvcus Patton,,,,Steve Heiden,,,,,,,Mike Maslowski,Eddie Kennison,Johnnie Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,September 8,1,2002,83,Washington Redskins,Arizona Cardinals,31,23,Steve Spurrier,Dave McGinnis,1-0,0-1,outdoors,grass,Washington Redskins -6.0,44.5 (over),Shane Matthews,Stephen Davis,Derrius Thompson,Zeron Flemister,Chris Samuels,David Loverne,Larry Moore,Brendan Stai,Jon Jansen,Renaldo Wynn,Dan Wilkinson,Daryl Gardener,Bruce Smith,,Jeremiah Trotter,Champ Bailey,Fred Smoot,Sam Shade,David Terrell,Jake Plummer,Thomas Jones,David Boston,Freddie Jones,L.J. Shelton,Pete Kendall,Mike Gruttadauria,Chris Dishman,Leonard Davis,Fred Wakefield,Russell Davis,Marcus Bell,Kyle Vanden Bosch,,,,Duane Starks,David Barrett,Justin Lucas,Kwamie Lassiter,14,21,20-70-1,32-122-1,14-36-187-1-1,28-40-327-3-1,1-0,1-7,187,320,257,442,1-0,0-0,1,1,1-5,7-56,4-13,9-16,0-0,1-2,25:36,34:24,Joel Makovicka,,,,,Bryan Johnson,,LaVar Arrington,Jessie Armstead,Ronald McKinnon,,,,,,,,,,,,,,Raynoch Thompson,Rob Fredrickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
