,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeHB,homeFB,homeFL,homeSE,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeDE,homeNT,homeLOLB,homeLILB,homeRILB,homeROLB,homeLCB,homeRCB,homeSS,homeFS,awayOE,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayDT,awayNT,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayLDT,awayLOLB,awayRDE,awayRDT,awayROLB,homeLDE,homeLDT,homeMLB,homeRB,homeRDE,homeRDT,homeWR,awayLLB,awayRLB,homeDT,homeOLB,homeILB,homeSLB,homeWLB,homeUT,awayBLB,awayUT,awayOLB,awayS,homeLLB,homeRLB,awayHB,homeMIKE,homeSAM,homeWILL,awayJLB,awayLILB,awayRILB,awayH-B,awayCB,awayILB,homeCB,homeDB,awayDE,homeLOT,homeROT,awayLB,homeH-B,homeOE,homeBLB,homeDL,homeS,homeJLB,awayFL,awaySE,awayLOT,awayROT,awaySAM,awayWILL,awayDB,awayTB,homeLB,homeNB,awayMIKE,homeXDB,awayDL
0,September 7,1,2006,87,Pittsburgh Steelers,Miami Dolphins,28,17,Bill Cowher,Nick Saban,1-0,0-1,outdoors,dessograss,Pittsburgh Steelers -1.5,34.5 (over),Charlie Batch,Willie Parker,Dan Kreider,Hines Ward,Cedrick Wilson,Heath Miller,Marvel Smith,Alan Faneca,Jeff Hartings,Kendall Simmons,Max Starks,Aaron Smith,Casey Hampton,Joey Porter,Clark Haggans,James Farrior,Larry Foote,Ike Taylor,Deshea Townsend,Troy Polamalu,Ryan Clark,Jason Taylor,Daunte Culpepper,Ronnie Brown,Darian Barnes,Chris Chambers,Randy McMichael,L.J. Shelton,Jeno James,Rex Hadnot,Bennie Anderson,Vernon Carey,Kevin Carter,Vonnie Holliday,Keith Traylor,Donnie Spragan,Zach Thomas,Channing Crowder,Will Allen,Andre' Goodman,Travares Tillman,Renaldo Hill,15,20,18-38-2,38-146-0,18-37-262-0-2,15-25-209-3-0,3-22,3-13,240,196,278,342,1-0,1-1,2,1,6-63,1-10,5-13,7-15,0-1,1-1,24:33,35:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,September 10,1,2006,87,Kansas City Chiefs,Cincinnati Bengals,10,23,Herm Edwards,Marvin Lewis,0-1,1-0,outdoors,grass,Cincinnati Bengals -1.5,49.5 (under),Trent Green,,Ronnie Cruz,,,Tony Gonzalez,Kyle Turley,Brian Waters,Casey Wiegmann,Will Shields,Jordan Black,,,Derrick Johnson,,,Kendrell Bell,Ty Law,Patrick Surtain,Sammy Knight,Greg Wesley,,Carson Palmer,Rudi Johnson,,Chad Johnson,Reggie Kelly,Levi Jones,Eric Steinbach,Rich Braham,Bobbie Williams,Willie Anderson,Bryan Robinson,,,,Brian Simmons,,Johnathan Joseph,Tory James,Dexter Jackson,Madieu Williams,12,18,34-116-2,25-113-0,13-19-127-0-0,23-35-230-1-1,1-7,7-54,120,176,236,289,2-1,4-2,1,3,5-40,5-40,4-13,5-15,0-0,3-4,28:03,31:57,Sam Adams,Rashad Jeanty,Justin Smith,John Thornton,Landon Johnson,Tamba Hali,Ron Edwards,Kawika Mitchell,Larry Johnson,Jared Allen,James Reed,Samie Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,September 10,1,2006,87,Tampa Bay Buccaneers,Baltimore Ravens,0,27,Jon Gruden,Brian Billick,0-1,1-0,outdoors,grass,Tampa Bay Buccaneers -3.0,33.0 (under),Chris Simms,,Mike Alstott,,,Alex Smith,Anthony Davis,Sean Mahan,John Wade,Jeb Terry,Kenyatta Walker,Greg Spires,,,,,,Brian Kelly,Ronde Barber,Jermaine Phillips,Will Allen,,Steve McNair,Jamal Lewis,Justin Green,Derrick Mason,Todd Heap,Jonathan Ogden,Edwin Mulitalo,Mike Flynn,Keydrick Vincent,Tony Pashos,Trevor Pryce,Haloti Ngata,Kelly Gregg,,Ray Lewis,,Chris McAlister,Samari Rolle,Dawan Landry,Ed Reed,16,8,34-103-1,13-26-0,17-27-181-1-0,18-34-137-0-3,1-13,3-21,168,116,271,142,4-0,0-0,0,3,4-25,3-21,5-14,3-12,0-0,0-1,35:49,24:11,,,Terrell Suggs,,,,,Barrett Ruud,Cadillac Williams,,,Joey Galloway,Adalius Thomas,Bart Scott,Chris Hovan,Ryan Nece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,September 10,1,2006,87,New England Patriots,Buffalo Bills,19,17,Bill Belichick,Dick Jauron,1-0,0-1,outdoors,grass,New England Patriots -10.0,41.0 (under),Tom Brady,,,,,Ben Watson,Matt Light,Logan Mankins,Dan Koppen,Steve Neal,Ryan O'Callaghan,,Vince Wilfork,,,,,Asante Samuel,Ellis Hobbs,Rodney Harrison,Eugene Wilson,,J.P. Losman,Willis McGahee,,Kevin Everett,Robert Royal,Mike Gandy,Tutan Reyes,Melvin Fowler,Chris Villarrial,Jason Peters,Chris Kelsay,,,Takeo Spikes,London Fletcher,Angelo Crowell,Terrence McGee,Nate Clements,Coy Wire,Troy Vincent,12,19,24-99-1,41-183-0,15-23-164-0-0,11-23-163-2-1,3-23,3-27,141,136,240,319,3-0,2-1,0,2,7-53,1-5,3-11,5-13,0-1,2-2,27:05,32:55,Larry Tripplett,,Aaron Schobel,Tim Anderson,,Ty Warren,,,Corey Dillon,Richard Seymour,,Troy Brown,,,,Rosevelt Colvin,Junior Seau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,September 10,1,2006,87,Houston Texans,Philadelphia Eagles,10,24,Gary Kubiak,Andy Reid,0-1,1-0,retractable roof (closed),grass,Philadelphia Eagles -6.0,37.0 (under),David Carr,,Jameel Cook,,,Owen Daniels,Charles Spencer,Chester Pitts,Mike Flanagan,Fred Weary,Zach Wiegert,,,,,,,Dunta Robinson,Lewis Sanders,Glenn Earl,C.C. Brown,,Donovan McNabb,Brian Westbrook,Thomas Tapeh,Reggie Brown,L.J. Smith,Tra Thomas,Todd Herremans,Jamaal Jackson,Shawn Andrews,Jon Runyan,Jevon Kearse,,,Dhani Jones,Jeremiah Trotter,Matt McCoy,Sheldon Brown,Lito Sheppard,Michael Lewis,Brian Dawkins,24,19,30-130-0,20-70-0,24-35-314-3-1,18-27-208-1-0,1-3,5-37,311,171,441,241,0-0,1-0,1,0,5-51,3-20,8-13,3-11,0-0,1-2,32:51,27:09,Mike Patterson,,Darren Howard,Darwin Walker,,Anthony Weaver,,DeMeco Ryans,Wali Lundy,Mario Williams,Seth Payne,Eric Moulds,,,,,,Shantee Orr,Morlon Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,September 10,1,2006,87,St. Louis Rams,Denver Broncos,18,10,Scott Linehan,Mike Shanahan,1-0,0-1,dome,fieldturf,Denver Broncos -3.5,46.0 (under),Marc Bulger,,Steven Jackson,,,Joe Klopfenstein,Orlando Pace,Richie Incognito,Andy McCollum,Adam Timmerman,Alex Barron,,Jimmy Kennedy,,,,,Travis Fisher,Fakhir Brown,Corey Chavous,O.J. Atogwe,,Jake Plummer,Tatum Bell,,Javon Walker,Tony Scheffler,Matt Lepsis,Ben Hamilton,Tom Nalen,Cooper Carlisle,George Foster,Kenard Lang,,,D.J. Williams,Al Wilson,Ian Gold,Champ Bailey,Darrent Williams,Nick Ferguson,John Lynch,17,16,25-161-1,28-125-0,13-26-138-0-3,18-34-217-0-0,4-40,3-22,98,195,259,320,2-2,0-0,5,0,4-30,10-94,5-12,3-15,1-1,0-0,27:11,32:49,Michael Myers,,Ebenezer Ekuban,Gerard Warren,,Leonard Little,,Will Witherspoon,,Anthony Hargrove,,Torry Holt,,,,,,Brandon Chillar,Pisa Tinoisamoa,La'Roi Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,September 10,1,2006,87,Carolina Panthers,Atlanta Falcons,6,20,John Fox,Jim Mora,0-1,1-0,outdoors,grass,Carolina Panthers -4.5,39.0 (under),Jake Delhomme,,Brad Hoover,,,Mike Seidman,Travelle Wharton,Mike Wahle,Justin Hartwig,Evan Mathis,Jordan Gross,,,,,,,Chris Gamble,Ken Lucas,Shaun Williams,Mike Minter,,Michael Vick,Warrick Dunn,Justin Griffith,Michael Jenkins,Alge Crumpler,Wayne Gandy,Matt Lehr,Todd McClure,Kynan Forney,Todd Weiner,Patrick Kerney,,Grady Jackson,,Keith Brooking,Demorrio Williams,DeAngelo Hall,Jason Webster,Lawyer Milloy,Chris Crocker,24,15,47-252-0,16-65-0,10-22-140-2-0,21-39-186-0-1,1-7,4-36,133,150,385,215,1-0,3-1,0,2,2-20,8-45,4-13,2-12,0-1,0-2,36:28,23:32,,,John Abraham,,,Julius Peppers,Ma'ake Kemoeatu,Dan Morgan,DeShaun Foster,Mike Rucker,Kris Jenkins,Keyshawn Johnson,,,,,,Thomas Davis,Chris Draft,,Michael Boley,Roderick Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,September 10,1,2006,87,Tennessee Titans,New York Jets,16,23,Jeff Fisher,Eric Mangini,0-1,1-0,outdoors,grass,Tennessee Titans -2.5,35.0 (over),Kerry Collins,,,,,Bo Scaife,Michael Roos,Zach Piller,Kevin Mawae,Benji Olson,Jacob Bell,,,,,,,Reynaldo Hill,Adam Jones,Chris Hope,Lamont Thompson,,Chad Pennington,Derrick Blaylock,B.J. Askew,Jerricho Cotchery,Chris Baker,D'Brickashaw Ferguson,Pete Kendall,Nick Mangold,Brandon Moore,Anthony Clement,Shaun Ellis,Dewayne Robertson,,,Jonathan Vilma,,Andre Dyson,Justin Miller,,,24,22,34-91-1,25-86-2,24-33-319-2-0,20-42-250-0-3,2-17,2-8,302,242,393,328,2-2,2-0,2,3,8-53,8-70,4-13,5-13,0-0,1-2,34:02,25:58,,,Bryan Thomas,,,Kyle Vanden Bosch,Robaire Smith,Peter Sirmon,Chris Brown,Travis LaBoy,Albert Haynesworth,David Givens,,,,,,,,,,,Eric Barton,Erik Coleman,David Thornton,Keith Bulluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,September 10,1,2006,87,Cleveland Browns,New Orleans Saints,14,19,Romeo Crennel,Sean Payton,0-1,1-0,outdoors,grass,Cleveland Browns -3.0,36.0 (under),Charlie Frye,,Terrelle Smith,,,Kellen Winslow,Kevin Shaffer,Joe Andruzzi,Hank Fraley,Cosey Coleman,Ryan Tucker,,Ted Washington,Willie McGinest,,,Matt Stewart,Leigh Bodden,Gary Baxter,Sean Jones,Brian Russell,,Drew Brees,,,Joe Horn,Ernie Conwell,Jammal Brown,Jamar Nesbit,Jeff Faine,Jahri Evans,Jon Stinchcomb,Charles Grant,Brian Young,Hollis Thomas,Scott Fujita,Mark Simoneau,Scott Shanle,Mike McKenzie,Fred Thomas,Roman Harper,Josh Bullocks,17,15,41-156-0,22-85-1,16-30-170-1-1,16-27-132-1-2,0-0,5-31,170,101,326,186,1-1,1-1,2,3,6-44,4-35,9-18,5-12,0-1,0-0,32:46,27:14,,,Will Smith,,,Orpheus Roye,,Andra Davis,Reuben Droughns,Alvin McKinley,,Dennis Northcutt,,,,,,,D'Qwell Jackson,,,,,,,,Deuce McAllister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,September 10,1,2006,87,Detroit Lions,Seattle Seahawks,6,9,Rod Marinelli,Mike Holmgren,0-1,1-0,dome,fieldturf,Seattle Seahawks -6.0,44.0 (under),Jon Kitna,Kevin Jones,,,,Marcus Pollard,Jeff Backus,Rick DeMulling,Dominic Raiola,Damien Woody,Barry Stokes,,Shaun Cody,,,,,Fernando Bryant,Dre' Bly,Kenoy Kennedy,Terrence Holt,,Matt Hasselbeck,Shaun Alexander,Maurice Morris,Bobby Engram,Nate Burleson,Walter Jones,Floyd Womack,Robbie Tobeck,Chris Gray,Sean Locklear,Bryce Fisher,,,,Lofa Tatupu,,Kelly Herndon,Marcus Trufant,Michael Boulware,Ken Hamlin,17,15,26-91-0,17-38-0,25-30-210-0-0,21-37-229-0-0,5-37,3-16,173,213,264,251,2-1,3-1,1,1,8-55,7-61,2-11,5-14,0-0,0-0,32:25,27:35,Chartric Darby,,Grant Wistrom,Rocky Bernard,,Cory Redding,,Paris Lenon,,James Hall,,Corey Bradford,,,,,,Alex Lewis,Ernie Sims,Shaun Rogers,,,D.D. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
