,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeFL,homeSE,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeDE,homeNT,homeLOLB,homeLILB,homeRILB,homeROLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayOLB,awayLLB,awayMLB,awayLCB,awayRCB,awaySS,awayFS,awayCB,awayDE,awayDT,awayLB,homeH-B,homeLDE,homeLDT,homeMLB,homeRDE,homeRDT,homeSLB,homeWLB,homeWR,awayLILB,awayLOLB,awayNT,awayRILB,awayROLB,homeDT,homeFB,homeJACK,homeLWR,homeMIKE,homeOC,homeRLB,homeRWR,awayILB,awayS,homeHB,homeLOT,homeROT,awayEND,awayMIKE,awayT,awayWILL,awaySLB,awayUT,awayWLB,homeILB,homeOLB,homeS,awayRLB,awayMILB,awayMOLB,awaySAM,homeUT,awayTED,homeBLB,awayMCB,homeCB,awayHB,homeEND,homeT,homeWILL,homeLLB,homeLB,homeSAM,homeTED,awayDB,awayJACK,awayLWR,awayOC,awayRWR,awayFL,awaySE,homeMILB,homeMOLB,awayH-B,awayBLB,homeDB,homeLB/D,awayLOT,awayROT,awayLB/D,awayFB',home3CB,awayJLB,homeJLB,awayNB,homeNB,awayLDB
0,2009,September 10,1,Pittsburgh Steelers,Tennessee Titans,Mike Tomlin,Jeff Fisher,1-0,0-1,outdoors,dessograss,Pittsburgh Steelers -6.5,35.0 (under),Ben Roethlisberger,Willie Parker,Hines Ward,Santonio Holmes,Heath Miller,Max Starks,Chris Kemoeatu,Justin Hartwig,Trai Essex,Willie Colon,Brett Keisel,Casey Hampton,LaMarr Woodley,James Farrior,Keyaron Fox,James Harrison,Ike Taylor,William Gay,Troy Polamalu,Ryan Clark,Kerry Collins,Chris Johnson,Ahmard Hall,Justin Gage,Alge Crumpler,Michael Roos,Eugene Amano,Kevin Mawae,Jake Scott,David Stewart,Jevon Kearse,Jovan Haye,Tony Brown,Kyle Vanden Bosch,Keith Bulluck,David Thornton,Stephen Tulloch,Nick Harper,Cortland Finnegan,Chris Hope,Michael Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2009,September 13,1,Indianapolis Colts,Jacksonville Jaguars,Jim Caldwell,Jack Del Rio,1-0,0-1,retractable roof (open),fieldturf,Indianapolis Colts -6.0,45.0 (under),Peyton Manning,Joseph Addai,,,Dallas Clark,Charlie Johnson,Ryan Lilja,Jeff Saturday,Mike Pollak,Ryan Diem,,,,,,,Kelvin Hayden,Jerraud Powers,Melvin Bullitt,Antoine Bethea,David Garrard,Maurice Jones-Drew,Greg Jones,Torry Holt,Marcedes Lewis,Eugene Monroe,Vince Manuwai,Brad Meester,Maurice Williams,Eben Britton,,,,,Clint Ingram,,,,,Sean Considine,Reggie Nelson,Rashean Mathis,Reggie Hayward,Terrance Knighton,Justin Durant,Gijon Robinson,Robert Mathis,Eric Foster,Gary Brackett,Dwight Freeney,Antonio Johnson,Tyjuan Hagler,Clint Session,Reggie Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009,September 13,1,Baltimore Ravens,Kansas City Chiefs,John Harbaugh,Todd Haley,1-0,0-1,outdoors,sportturf,Baltimore Ravens -13.0,36.5 (over),Joe Flacco,Ray Rice,,,Todd Heap,Jared Gaither,Ben Grubbs,,Chris Chester,Michael Oher,Trevor Pryce,Kelly Gregg,,,,,Fabian Washington,Domonique Foxworth,Dawan Landry,Ed Reed,Brodie Croyle,Larry Johnson,Mike Cox,Mark Bradley,Sean Ryan,Branden Albert,Brian Waters,Rudy Niswanger,Mike Goff,Ikechuku Ndukwe,Tyson Jackson,,,Glenn Dorsey,,,,Maurice Leggett,Brandon Carr,Mike Brown,Jarrad Page,,,,,,,,,,,Jarret Johnson,,,Demorrio Williams,Mike Vrabel,Tank Tyler,Corey Mays,Tamba Hali,Haloti Ngata,Le'Ron McClain,Tavares Gooden,Mark Clayton,Ray Lewis,Matt Birk,Terrell Suggs,Derrick Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2009,September 13,1,Cincinnati Bengals,Denver Broncos,Marvin Lewis,Josh McDaniels,0-1,1-0,outdoors,fieldturf,Cincinnati Bengals -5.0,41.0 (under),Carson Palmer,,,,Daniel Coats,,Nate Livings,Kyle Cook,Bobbie Williams,,,,,,,,Johnathan Joseph,Leon Hall,Roy Williams,Chris Crocker,Kyle Orton,Correll Buckhalter,Peyton Hillis,Jabar Gaffney,Daniel Graham,Ryan Clady,Ben Hamilton,Casey Wiegmann,Russ Hochstein,Ryan Harris,,,,,Elvis Dumervil,,,Champ Bailey,Andre' Goodman,,,,Kenny Peterson,,,,Robert Geathers,Domata Peko,Dhani Jones,Antwan Odom,Tank Johnson,Rey Maualuga,Keith Rivers,Laveranues Coles,,,Ronald Fields,,,,Jeremi Johnson,,,,,,,D.J. Williams,Renaldo Hill,Cedric Benson,Andrew Whitworth,Anthony Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2009,September 13,1,Houston Texans,New York Jets,Gary Kubiak,Rex Ryan,0-1,1-0,retractable roof (closed),grass,Houston Texans -4.5,45.0 (under),Matt Schaub,Steve Slaton,,,Owen Daniels,Duane Brown,Chester Pitts,Chris Myers,Mike Brisiel,Eric Winston,,Shaun Cody,,,,,Fred Bennett,DelJuan Robinson,Dominique Barber,Nick Ferguson,Mark Sanchez,Thomas Jones,Tony Richardson,Jerricho Cotchery,Dustin Keller,D'Brickashaw Ferguson,Alan Faneca,Nick Mangold,Brandon Moore,Damien Woody,,,,,Bryan Thomas,,,Darrelle Revis,Lito Sheppard,,,,,,,,Antonio Smith,,DeMeco Ryans,Mario Williams,,Brian Cushing,Zach Diles,Andre' Davis,,,Kris Jenkins,,,Amobi Okoye,Vonta Leach,,,,,,,,Jim Leonhard,,,,Marques Douglas,David Harris,Sione Pouha,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,September 13,1,Cleveland Browns,Minnesota Vikings,Eric Mangini,Brad Childress,0-1,1-0,outdoors,grass,Minnesota Vikings -4.5,40.0 (over),Brady Quinn,Jamal Lewis,,,Robert Royal,Joe Thomas,Eric Steinbach,Alex Mack,Floyd Womack,John St. Clair,,Shaun Rogers,,,,,Eric Wright,Brandon McDonald,,,Brett Favre,Adrian Peterson,,Sidney Rice,Jim Kleinsasser,Bryant McKinnie,Steve Hutchinson,John Sullivan,Anthony Herrera,Phil Loadholt,Ray Edwards,,,Jared Allen,,,E.J. Henderson,Antoine Winfield,Cedric Griffin,Tyrell Johnson,Madieu Williams,,,,,,Kenyon Coleman,,,Robaire Smith,,,,Braylon Edwards,,,Pat Williams,,,,,,,,,,,,,,,,,,,,Chad Greenway,Kevin Williams,Ben Leber,D'Qwell Jackson,David Bowens,Abram Elam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2009,September 13,1,New Orleans Saints,Detroit Lions,Sean Payton,Jim Schwartz,1-0,0-1,dome,fieldturf,New Orleans Saints -14.0,50.0 (over),Drew Brees,Reggie Bush,,,Jeremy Shockey,Jermon Bushrod,Carl Nicks,Jonathan Goodwin,Jahri Evans,Jon Stinchcomb,,,,,,,Jabari Greer,Tracy Porter,Roman Harper,Darren Sharper,Matthew Stafford,Kevin Smith,Brandon Pettigrew,Bryant Johnson,Will Heller,Jeff Backus,Daniel Loper,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Cliff Avril,Grady Jackson,Sammie Lee Hill,Dewayne White,,Julian Peterson,Larry Foote,Anthony Henry,Eric King,Marquand Manuel,Louis Delmas,,,,,,Charles Grant,,,Will Smith,,Scott Fujita,Scott Shanle,Devery Henderson,,,,,,Sedrick Ellis,,,,,,,,,,,,,,,,,,,,Marvin Mitchell,,,Ernie Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2009,September 13,1,Tampa Bay Buccaneers,Dallas Cowboys,Raheem Morris,Wade Phillips,0-1,1-0,outdoors,grass,Dallas Cowboys -5.0,40.0 (over),Byron Leftwich,Cadillac Williams,,,Jerramy Stevens,Donald Penn,Jeremy Zuttah,Jeff Faine,Davin Joseph,Jeremy Trueblood,,,,,,,Aqib Talib,Ronde Barber,Sabby Piscitelli,Jermaine Phillips,Tony Romo,Marion Barber III,Deon Anderson,Patrick Crayton,Jason Witten,Flozell Adams,Kyle Kosier,Andre Gurode,Leonard Davis,Marc Colombo,Marcus Spears,,,Igor Olshansky,,,,Terence Newman,Mike Jenkins,Gerald Sensabaugh,Ken Hamlin,,,,,,Jimmy Wilkerson,,Barrett Ruud,Gaines Adams,,Quincy Black,Matt McCoy,Michael Clayton,,,Jay Ratliff,,,Ryan Sims,,,,,,,,,,,,,,,,,Anthony Spencer,,DeMarcus Ware,,,,,Bradie James,Keith Brooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2009,September 13,1,Carolina Panthers,Philadelphia Eagles,John Fox,Andy Reid,0-1,1-0,outdoors,grass,Philadelphia Eagles -2.5,43.5 (over),Jake Delhomme,DeAngelo Williams,,,Gary Barnidge,Jordan Gross,Travelle Wharton,Ryan Kalil,Keydrick Vincent,Jeff Otah,,,,,,,Chris Gamble,Richard Marshall,Quinton Teal,Charles Godfrey,Donovan McNabb,Brian Westbrook,Leonard Weaver,DeSean Jackson,Brent Celek,Jason Peters,Nick Cole,Jamaal Jackson,Stacy Andrews,Winston Justice,Victor Abiamiri,Mike Patterson,Brodrick Bunkley,Trent Cole,,,Omar Gaither,Asante Samuel,Sheldon Brown,Quintin Mikell,Victor Harris,,,,,,Tyler Brayton,Nick Hayden,Jon Beason,Julius Peppers,Damione Lewis,Na'il Diggs,Thomas Davis,Muhsin Muhammad,,,,,,,Brad Hoover,,,,,,,,,,,,,,,Akeem Jordan,,,,,,,,,,Chris Gocong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,September 13,1,Atlanta Falcons,Miami Dolphins,Mike Smith,Tony Sparano,1-0,0-1,dome,fieldturf,Atlanta Falcons -4.0,44.5 (under),Matt Ryan,Michael Turner,,,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Harvey Dahl,Tyson Clabo,,Peria Jerry,,,,,Brian Williams,Chris Houston,Erik Coleman,Thomas DeCoud,Chad Pennington,Ronnie Brown,Lousaka Polite,Ted Ginn Jr.,Anthony Fasano,Jake Long,Justin Smiley,Jake Grove,Donald Thomas,Vernon Carey,Kendall Langford,,,Randy Starks,,,,Will Allen,Sean Smith,Yeremiah Bell,Gibril Wilson,,,,,,John Abraham,,Curtis Lofton,Jamaal Anderson,,Stephen Nicholas,Mike Peterson,Michael Jenkins,,,Jason Ferguson,,,,Ovie Mughelli,,,,,,,Akin Ayodele,,,,,,,,,Jason Taylor,,Joey Porter,,,,,,,,Jonathan Babineaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
