,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeDT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayUT,awayNT,awayRDE,awaySLB,awayMLB,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDT,awayOLB,awayS,homeDE,homeLILB,homeLOLB,homeRILB,homeROLB,awayILB,homeFB,awayDB,awayLDT,awayRDT,awayWLB,homeCB,awayHB,awayLOT,awayROT,homeDB,homeILB,homeLDT,homeRDT,homeJLB,awayDE,homeOLB,homeLB,awayLOLB,awayROLB,homeHB,awayDL,awayLB,awayOL,homeDL,homeOL,awayMIKE,awaySAM,awayTED,awayWILL,away63,awayMILB,awayMOLB,awayRUSH,homeEND,homeMIKE,homeS,homeT,homeWILL,homeLOT,homeROT,awayJLB,homeBLB,awayLILB,awayRILB,homeUT,homeMILB,homeMOLB,homeH-B,homeSAM,homeTED,homeRUSH,awayH-B,awayEND,awayT,awayBLB,awayNB,home3CB,home33,awaySCB,awayNE,homeNE,homeNDB,homeMCB,homeLLB,homeRLB,homeNB
0,2010,September 9,1,New Orleans Saints,Minnesota Vikings,Sean Payton,Brad Childress,1-0,0-1,dome,sportturf,New Orleans Saints -5.0,49.5 (under),Drew Brees,Reggie Bush,Devery Henderson,David Thomas,Jermon Bushrod,Carl Nicks,Jonathan Goodwin,Jahri Evans,Jon Stinchcomb,Alex Brown,Sedrick Ellis,Remi Ayodele,Will Smith,Jo-Lonn Dunbar,Jonathan Vilma,Scott Shanle,Jabari Greer,Tracy Porter,Roman Harper,Malcolm Jenkins,Brett Favre,Adrian Peterson,Naufahu Tahi,Percy Harvin,Visanthe Shiancoe,Bryant McKinnie,Steve Hutchinson,John Sullivan,Anthony Herrera,Phil Loadholt,Ray Edwards,Kevin Williams,Pat Williams,Jared Allen,Chad Greenway,E.J. Henderson,Antoine Winfield,Lito Sheppard,Asher Allen,Husain Abdullah,Madieu Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2010,September 12,1,Pittsburgh Steelers,Atlanta Falcons,Mike Tomlin,Mike Smith,1-0,0-1,outdoors,grass ,Atlanta Falcons -1.5,39.5 (under),Dennis Dixon,Rashard Mendenhall,Hines Ward,Matt Spaeth,Max Starks,Chris Kemoeatu,Maurkice Pouncey,Trai Essex,Flozell Adams,,,Casey Hampton,,,,,Ike Taylor,Bryant McFadden,Troy Polamalu,Ryan Clark,Matt Ryan,Michael Turner,Justin Peelle,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Harvey Dahl,Tyson Clabo,Kroy Biermann,,,John Abraham,,Curtis Lofton,Brent Grimes,,Dunta Robinson,,,Trey Lewis,Mike Peterson,Erik Coleman,Aaron Smith,James Farrior,LaMarr Woodley,Lawrence Timmons,James Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,September 12,1,Chicago Bears,Detroit Lions,Lovie Smith,Jim Schwartz,1-0,0-1,outdoors,grass ,Chicago Bears -6.5,45.0 (under),Jay Cutler,Matt Forte,Devin Aromashodu,Greg Olsen,Chris Williams,Roberto Garza,Olin Kreutz,Lance Louis,Frank Omiyale,Mark Anderson,Tommie Harris,Anthony Adams,Julius Peppers,Pisa Tinoisamoa,Brian Urlacher,Lance Briggs,Zackary Bowman,Charles Tillman,Danieal Manning,Chris Harris,Matthew Stafford,Jahvid Best,,Calvin Johnson,Tony Scheffler,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Cliff Avril,,,Kyle Vanden Bosch,,Landon Johnson,Chris Houston,Aaron Berry,Jonathan Wade,C.C. Brown,Louis Delmas,Ndamukong Suh,Julian Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,September 12,1,Tampa Bay Buccaneers,Cleveland Browns,Raheem Morris,Eric Mangini,1-0,0-1,outdoors,grass ,Tampa Bay Buccaneers -2.5,37.0 (under),Josh Freeman,Cadillac Williams,Mike Williams,Kellen Winslow,Donald Penn,Keydrick Vincent,Jeff Faine,Davin Joseph,Jeremy Trueblood,Kyle Moore,Roy Miller,,Ryan Sims,Quincy Black,Barrett Ruud,Geno Hayes,E.J. Biggers,Ronde Barber,Sean Jones,Tanard Jackson,Jake Delhomme,Peyton Hillis,Lawrence Vickers,Josh Cribbs,Robert Royal,Joe Thomas,Eric Steinbach,Alex Mack,Floyd Womack,John St. Clair,Robaire Smith,,Ahtyba Rubin,,,,Eric Wright,Joe Haden,Sheldon Brown,,,,Marcus Benard,T.J. Ward,,,,,,Scott Fujita,Earnest Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2010,September 12,1,Houston Texans,Indianapolis Colts,Gary Kubiak,Jim Caldwell,1-0,0-1,retractable roof (closed),grass ,Indianapolis Colts -1.0,48.0 (over),Matt Schaub,Arian Foster,Kevin Walter,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Antoine Caldwell,Eric Winston,Antonio Smith,Amobi Okoye,Shaun Cody,Mario Williams,,DeMeco Ryans,Zach Diles,Glover Quin,Kareem Jackson,Bernard Pollard,Eugene Wilson,Peyton Manning,Joseph Addai,,Reggie Wayne,Dallas Clark,Charlie Johnson,Jamey Richard,Jeff Saturday,Mike Pollak,Ryan Diem,Robert Mathis,,,Dwight Freeney,,Gary Brackett,Kelvin Hayden,,Jerraud Powers,Bob Sanders,Antoine Bethea,,,,,,,,,,,Justin Tryon,Daniel Muir,Fili Moala,Clint Session,Brice McCain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010,September 12,1,New England Patriots,Cincinnati Bengals,Bill Belichick,Marvin Lewis,1-0,0-1,outdoors,fieldturf ,New England Patriots -5.5,45.0 (over),Tom Brady,Kevin Faulk,Wes Welker,Aaron Hernandez,Matt Light,Dan Connolly,Dan Koppen,Steve Neal,Sebastian Vollmer,Ron Brace,,,Mike Wright,,,,Darius Butler,Devin McCourty,Brandon Meriweather,Patrick Chung,Carson Palmer,,,Terrell Owens,Reggie Kelly,,Nate Livings,Kyle Cook,Bobbie Williams,,Robert Geathers,,Domata Peko,Antwan Odom,Rey Maualuga,Dhani Jones,Johnathan Joseph,,Leon Hall,Roy Williams,Chris Crocker,Tank Johnson,,,,,,,,,,,,,Keith Rivers,,Cedric Benson,Andrew Whitworth,Dennis Roland,Jonathan Wilhite,Jerod Mayo,Vince Wilfork,Myron Pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2010,September 12,1,Buffalo Bills,Miami Dolphins,Chan Gailey,Tony Sparano,0-1,1-0,outdoors,astroplay ,Miami Dolphins -3.0,39.0 (under),Trent Edwards,Fred Jackson,Lee Evans,,Demetress Bell,Andy Levitre,Geoff Hangartner,Eric Wood,Cornell Green,Marcus Stroud,,Kyle Williams,Dwan Edwards,Chris Kelsay,Andra Davis,Paul Posluszny,Terrence McGee,Drayton Florence,Donte Whitner,George Wilson,Chad Henne,Ronnie Brown,Lousaka Polite,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Joe Berger,John Jerry,Vernon Carey,Kendall Langford,,Randy Starks,Jared Odrick,,,Vontae Davis,Benny Sapp,Jason Allen,Yeremiah Bell,Chris Clemons,,,,,,,,,Bobby Carpenter,,,,,Cameron Wake,,,,,,,,,Chris Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2010,September 12,1,Tennessee Titans,Oakland Raiders,Jeff Fisher,Tom Cable,1-0,0-1,outdoors,grass ,Tennessee Titans -6.5,40.0 (over),Vince Young,Chris Johnson,Nate Washington,Craig Stevens,Michael Roos,Leroy Harris,Eugene Amano,Jake Scott,David Stewart,,Jason Jones,,Dave Ball,,Stephen Tulloch,,Jason McCourty,Cortland Finnegan,Chris Hope,Michael Griffin,Jason Campbell,Darren McFadden,Marcel Reece,Louis Murphy,Zach Miller,Mario Henderson,Robert Gallery,Jared Veldheer,Cooper Carlisle,Langston Walker,,,,,,Rolando McClain,,Stanford Routt,,Tyvon Branch,Michael Huff,Richard Seymour,Kamerion Wimbley,,Jason Babin,,,,,,,,,,,,,,,,,,,,Lamarr Houston,Will Witherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2010,September 12,1,Jacksonville Jaguars,Denver Broncos,Jack Del Rio,Josh McDaniels,1-0,0-1,outdoors,grass ,Jacksonville Jaguars -3.0,41.5 (under),David Garrard,Maurice Jones-Drew,Mike Sims-Walker,Marcedes Lewis,Eugene Monroe,Justin Smiley,Brad Meester,Uche Nwaneri,Eben Britton,,Terrance Knighton,,,,,,,,Anthony Smith,Sean Considine,Kyle Orton,Knowshon Moreno,Spencer Larsen,Brandon Lloyd,Daniel Graham,Ryan Clady,Stanley Daniels,J.D. Walton,Chris Kuper,Zane Beadles,,,Jamal Williams,,,,Champ Bailey,,Andre' Goodman,,,,Jason Hunter,Renaldo Hill,Aaron Kampman,,,,,D.J. Williams,Greg Jones,,,,,Rashean Mathis,,,,,,,,,Justin Bannan,,Kirk Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,September 12,1,New York Giants,Carolina Panthers,Tom Coughlin,John Fox,1-0,0-1,outdoors,fieldturf,New York Giants -6.0,41.0 (over),Eli Manning,Ahmad Bradshaw,Hakeem Nicks,Kevin Boss,David Diehl,Rich Seubert,Shaun O'Hara,Chris Snee,Kareem McKenzie,Justin Tuck,,,Osi Umenyiora,Keith Bulluck,Jonathan Goff,Mathias Kiwanuka,Corey Webster,Terrell Thomas,Kenny Phillips,Antrel Rolle,Matt Moore,DeAngelo Williams,Tony Fiammetta,Brandon LaFell,Jeff King,Jordan Gross,Travelle Wharton,Ryan Kalil,Mackenzy Bernadeau,Geoff Schwartz,Charles Johnson,,,Tyler Brayton,James Anderson,Dan Connor,Chris Gamble,,Richard Marshall,Charles Godfrey,Sherrod Martin,,,,,,,,,,,,Edward Johnson,Derek Landri,Jon Beason,,,,,,,Barry Cofield,Chris Canty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
