,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeNT,homeLOLB,homeMLB,homeBLB,homeROLB,homeLCB,homeCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayNT,awayRDE,awaySLB,awayMLB,awayLB,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDE,awayLDT,awayRDT,awayWLB,homeHB,homeLDT,homeRDE,homeRDT,homeSLB,homeWLB,awayLILB,awayLOLB,awayOC,awayRILB,awayROLB,homeDE,homeDT,homeFB,homeMIKE,homeOC,homeRLB,homeILB,awayDT,homeOLB,homeS,awayOLB,awayS,awayHB,awayJLB,homeLILB,homeRILB,homeDB,awayUT,homeJLB,homeEND,homeT,homeWILL,awayMIKE,awayRLB,awayBLB,awayILB,awayDB,homeUT,awayMO,awaySAM,awayWILL,homeLLB,awayT,homeSAM,homeLB,away3CB,homeH-B,awayDL,awayH-B,awayNB,homeRUSH,awayRUSH,homeMO,awayEND,awayWIL,awayDE D,homeDE D,awayOT,awayRB/F,homeLOT,homeROT,homeRB/F,homeG,awayTE/W,awayLOT,awayROT,homeNB,homeDL
0,2011,September 8,1,Green Bay Packers,New Orleans Saints,Mike McCarthy,Sean Payton,1-0,0-1,outdoors,grass ,Green Bay Packers -5.0,48.0 (over),Aaron Rodgers,Ryan Grant,Greg Jennings,Jermichael Finley,Chad Clifton,T.J. Lang,Scott Wells,Josh Sitton,Bryan Bulaga,Ryan Pickett,B.J. Raji,Clay Matthews,Desmond Bishop,A.J. Hawk,Erik Walden,Charles Woodson,Sam Shields,Tramon Williams,Morgan Burnett,Nick Collins,Drew Brees,Mark Ingram,Jed Collins,Marques Colston,Jimmy Graham,Jermon Bushrod,Carl Nicks,Olin Kreutz,Jahri Evans,Zach Strief,Turk McBride,Sedrick Ellis,Cameron Jordan,Jonathan Casillas,Jonathan Vilma,Scott Shanle,Jabari Greer,Patrick Robinson,Tracy Porter,Roman Harper,Malcolm Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2011,September 11,1,St. Louis Rams,Philadelphia Eagles,Steve Spagnuolo,Andy Reid,0-1,1-0,dome,astroplay,Philadelphia Eagles -4.0,44.5 (under),Sam Bradford,,Brandon Gibson,Lance Kendricks,Rodger Saffold,Jacob Bell,Jason Brown,Harvey Dahl,Jason Smith,Chris Long,,,James Laurinaitis,,,Ron Bartell,,Bradley Fletcher,Craig Dahl,Quintin Mikell,Michael Vick,LeSean McCoy,Jason Avant,DeSean Jackson,Brent Celek,Jason Peters,Evan Mathis,Jason Kelce,Kyle DeVan,Todd Herremans,Jason Babin,,,Jamar Chaney,Casey Matthews,,Asante Samuel,,Nnamdi Asomugha,Jarrad Page,Kurt Coleman,Trent Cole,Cullen Jenkins,Mike Patterson,Moise Fokou,Steven Jackson,Fred Robbins,James Hall,Justin Bannan,Chris Chamberlain,Justin King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2011,September 11,1,Baltimore Ravens,Pittsburgh Steelers,John Harbaugh,Mike Tomlin,1-0,0-1,outdoors,sportturf,Baltimore Ravens -1.5,37.0 (over),Joe Flacco,Ray Rice,Anquan Boldin,Ed Dickson,Bryant McKinnie,Ben Grubbs,,Marshal Yanda,Michael Oher,,Terrence Cody,,,,,Lardarius Webb,,Cary Williams,Tom Zbikowski,Ed Reed,Ben Roethlisberger,Rashard Mendenhall,David Johnson,Hines Ward,Heath Miller,Jonathan Scott,Chris Kemoeatu,,Doug Legursky,Willie Colon,,Casey Hampton,,,,,Bryant McFadden,,Ike Taylor,Troy Polamalu,Ryan Clark,Aaron Smith,,,,,,,,Jarret Johnson,Jameel McClain,James Farrior,LaMarr Woodley,Maurkice Pouncey,Lawrence Timmons,James Harrison,Cory Redding,Haloti Ngata,Vonta Leach,Ray Lewis,Matt Birk,Terrell Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2011,September 11,1,Houston Texans,Indianapolis Colts,Gary Kubiak,Jim Caldwell,1-0,0-1,retractable roof (open),grass ,Houston Texans -9.0,44.0 (under),Matt Schaub,Derrick Ward,Andre Johnson,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Mike Brisiel,Eric Winston,,Shaun Cody,,,,,Kareem Jackson,,Johnathan Joseph,Glover Quin,Danieal Manning,Kerry Collins,Joseph Addai,,Pierre Garcon,Jacob Tamme,Anthony Castonzo,Joe Reitz,Jeff Saturday,Ryan Diem,Jeff Linkenbach,Robert Mathis,,Dwight Freeney,Pat Angerer,Gary Brackett,,Jacob Lacey,,Jerraud Powers,Melvin Bullitt,Antoine Bethea,,Fili Moala,Eric Foster,Kavell Conner,,,,,Connor Barwin,Mario Williams,,,,,,Antonio Smith,,James Casey,,,,Brian Cushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2011,September 11,1,Jacksonville Jaguars,Tennessee Titans,Jack Del Rio,Mike Munchak,1-0,0-1,outdoors,grass ,Tennessee Titans -1.5,38.0 (under),Luke McCown,Maurice Jones-Drew,Jason Hill,Marcedes Lewis,Eugene Monroe,Will Rackley,Brad Meester,Uche Nwaneri,Guy Whimper,Matt Roth,,,Paul Posluszny,,,Rashean Mathis,Drew Coleman,Derek Cox,,,Matt Hasselbeck,Chris Johnson,,Nate Washington,Craig Stevens,Michael Roos,Leroy Harris,Eugene Amano,Jake Scott,David Stewart,,,,Akeem Ayers,Barrett Ruud,,,Jason McCourty,,Chris Hope,Michael Griffin,Dave Ball,,,Will Witherspoon,,,Jeremy Mincey,,,,,,,,,,Terrance Knighton,Greg Jones,,,,,Shaun Smith,Daryl Smith,Dawan Landry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2011,September 11,1,Chicago Bears,Atlanta Falcons,Lovie Smith,Mike Smith,1-0,0-1,outdoors,grass ,Atlanta Falcons -1.5,41.0 (over),Jay Cutler,Matt Forte,Roy Williams,Matt Spaeth,J'Marcus Webb,Chris Williams,Roberto Garza,Lance Louis,Gabe Carimi,Israel Idonije,Matt Toeaina,,Brian Urlacher,,,Tim Jennings,,Charles Tillman,Chris Harris,Major Wright,Matt Ryan,Michael Turner,,Roddy White,Michael Palmer,Sam Baker,Justin Blalock,Joe Hawley,Garrett Reynolds,Tyson Clabo,Ray Edwards,,John Abraham,,Curtis Lofton,,Brent Grimes,,Dunta Robinson,,,,,,,,,Julius Peppers,,Nick Roach,Lance Briggs,,,,,,,Henry Melton,,,,,,Jonathan Babineaux,,,Stephen Nicholas,Thomas DeCoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2011,September 11,1,Cleveland Browns,Cincinnati Bengals,Pat Shurmur,Marvin Lewis,0-1,1-0,outdoors,grass ,Cleveland Browns -7.0,36.5 (over),Colt McCoy,Peyton Hillis,Brian Robiskie,Ben Watson,Joe Thomas,Jason Pinkston,Alex Mack,Shawn Lauvao,Oniel Cousins,Jayme Mitchell,,,D'Qwell Jackson,,,Joe Haden,,Sheldon Brown,T.J. Ward,Mike Adams,Andy Dalton,,,A.J. Green,Colin Cochart,Andrew Whitworth,Nate Livings,Kyle Cook,Clint Boling,Andre Smith,Robert Geathers,Domata Peko,Michael Johnson,Manny Lawson,Rey Maualuga,,Nate Clements,,Leon Hall,Chris Crocker,Reggie Nelson,,,,Thomas Howard,,,Jabaal Sheard,,Scott Fujita,Chris Gocong,,,,,,,Phil Taylor,Owen Marecic,,,,,Geno Atkins,,,,,Cedric Benson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2011,September 11,1,Kansas City Chiefs,Buffalo Bills,Todd Haley,Chan Gailey,0-1,1-0,outdoors,grass ,Kansas City Chiefs -3.5,40.0 (over),Matt Cassel,Jamaal Charles,Steve Breaston,Leonard Pope,Branden Albert,Ryan Lilja,Casey Wiegmann,Jon Asamoah,Barry Richardson,Tyson Jackson,Kelly Gregg,Justin Houston,,,Tamba Hali,Brandon Flowers,,Brandon Carr,Eric Berry,Kendrick Lewis,Ryan Fitzpatrick,Fred Jackson,,Roscoe Parrish,,Demetress Bell,Andy Levitre,Eric Wood,Kraig Urbik,Erik Pears,Marcell Dareus,Kyle Williams,,Chris Kelsay,,,Bryan Scott,Drayton Florence,Leodis McKelvin,George Wilson,Jairus Byrd,,,,Nick Barnett,,,Glenn Dorsey,,,,,,,,,,,,,,,,,,,,,,Shawne Merriman,Jovan Belcher,Derrick Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2011,September 11,1,Tampa Bay Buccaneers,Detroit Lions,Raheem Morris,Jim Schwartz,0-1,1-0,outdoors,grass ,Tampa Bay Buccaneers -1.5,43.5 (over),Josh Freeman,LeGarrette Blount,Arrelious Benn,Kellen Winslow,Donald Penn,Ted Larsen,Jeff Faine,Davin Joseph,Jeremy Trueblood,Michael Bennett,,,,,,Aqib Talib,,Ronde Barber,Sean Jones,Cody Grimm,Matthew Stafford,Jahvid Best,,Calvin Johnson,Brandon Pettigrew,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Cliff Avril,,Kyle Vanden Bosch,,Stephen Tulloch,,Chris Houston,,Eric Wright,Amari Spievey,Louis Delmas,,,,,,,Adrian Clayborn,,Quincy Black,Geno Hayes,,,,,,,Gerald McCoy,,,,,,Ndamukong Suh,,,DeAndre Levy,,,,,,E.J. Biggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,September 11,1,Arizona Cardinals,Carolina Panthers,Ken Whisenhunt,Ron Rivera,1-0,0-1,retractable roof (closed),grass ,Arizona Cardinals -7.0,37.5 (over),Kevin Kolb,Beanie Wells,Andre Roberts,Jeff King,Levi Brown,Daryn Colledge,Lyle Sendlein,Rex Hadnot,Brandon Keith,,Dan Williams,Clark Haggans,,,Joey Porter,A.J. Jefferson,,Patrick Peterson,Adrian Wilson,Kerry Rhodes,Cam Newton,DeAngelo Williams,,Steve Smith,Ben Hartsock,Jordan Gross,Travelle Wharton,Ryan Kalil,Geoff Hangartner,Jeff Otah,Greg Hardy,Sione Fua,Charles Johnson,Thomas Davis,Jon Beason,,Chris Gamble,,Captain Munnerlyn,Charles Godfrey,Sherrod Martin,,,,James Anderson,,,,,,,,,,,,Calais Campbell,Darnell Dockett,Anthony Sherman,,,,Daryl Washington,Terrell McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
