,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDT,awayNT,awaySLB,awayMLB,awayWLB,awayJLB,awayLCB,awayRCB,awaySS,awayFS,awayDE,awayMIKE,awayRUSH,awayWILL,homeDT,homeFB,homeNT,awayLDE,awayLOLB,awayRDE,awayROLB,awayS,homeDE,homeILB,awayCB,awayOLB,homeLILB,homeLOLB,homeRILB,homeROLB,homeCB,homeEND,homeMIKE,homeOLB,homeS,homeWILL,awayLB,homeDB,awayLDT,awayRDT,awaySAM,awayHB,homeHB,homeUT,awayILB,homeBLB,awayLILB,awayRILB,awayDB,awayLOT,awayROT,homeRUSH,homeSAM,homeLB,homeLOT,homeROT,awayUT,awayEND,awayT,homeJLB,homeNB,awayBLB,homeT,awayNB,homeF,awayF,homeWR W,awayWR W,awayLLB,awayRLB,awayFSW,awayTE/F,awayNDB,homeDL
0,2012,September 5,1,New York Giants,Dallas Cowboys,Tom Coughlin,Jason Garrett,0-1,1-0,outdoors,fieldturf,New York Giants -4.0,46.0 (under),Eli Manning,Ahmad Bradshaw,Victor Cruz,Martellus Bennett,Sean Locklear,Kevin Boothe,David Baas,Chris Snee,David Diehl,Justin Tuck,Linval Joseph,Rocky Bernard,Jason Pierre-Paul,Mathias Kiwanuka,Chase Blackburn,Keith Rivers,Corey Webster,Michael Coe,Kenny Phillips,Antrel Rolle,Tony Romo,DeMarco Murray,Lawrence Vickers,Miles Austin,Jason Witten,Tyron Smith,Nate Livings,Phil Costa,Mackenzy Bernadeau,Doug Free,Kenyon Coleman,Josh Brent,Anthony Spencer,Bruce Carter,Sean Lee,DeMarcus Ware,Brandon Carr,Morris Claiborne,Barry Church,Gerald Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2012,September 9,1,Chicago Bears,Indianapolis Colts,Lovie Smith,Chuck Pagano,1-0,0-1,outdoors,grass ,Chicago Bears -10.0,42.5 (over),Jay Cutler,Matt Forte,Brandon Marshall,Kellen Davis,J'Marcus Webb,Chris Spencer,Roberto Garza,Lance Louis,Gabe Carimi,Israel Idonije,,,Julius Peppers,Nick Roach,Brian Urlacher,Lance Briggs,Tim Jennings,Charles Tillman,Major Wright,Chris Conte,Andrew Luck,Donald Brown,,Donnie Avery,Dominique Jones,Anthony Castonzo,Seth Olsen,Samson Satele,Mike McGlynn,Winston Justice,Fili Moala,Antonio Johnson,Robert Mathis,,,,Vontae Davis,Jerraud Powers,Tom Zbikowski,Antoine Bethea,Cory Redding,Kavell Conner,Dwight Freeney,Jerrell Freeman,Henry Melton,Evan Rodriguez,Matt Toeaina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012,September 9,1,Houston Texans,Miami Dolphins,Gary Kubiak,Joe Philbin,1-0,0-1,retractable roof (closed),grass ,Houston Texans -13.5,41.5 (under),Matt Schaub,Arian Foster,Kevin Walter,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Antoine Caldwell,Derek Newton,,,,,Brooks Reed,,Connor Barwin,Kareem Jackson,Johnathan Joseph,Danieal Manning,Glover Quin,Ryan Tannehill,Reggie Bush,Charles Clay,Legedu Naanee,Anthony Fasano,Jake Long,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,Paul Soliai,,,Karlos Dansby,,,Sean Smith,Richard Marshall,,,,,,,,James Casey,Shaun Cody,Jared Odrick,Kevin Burnett,Cameron Wake,Koa Misi,Reshad Jones,Antonio Smith,Bradie James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2012,September 9,1,Kansas City Chiefs,Atlanta Falcons,Romeo Crennel,Mike Smith,0-1,1-0,outdoors,grass ,Atlanta Falcons -2.5,43.0 (over),Matt Cassel,Peyton Hillis,Dexter McCluster,Kevin Boss,Branden Albert,Ryan Lilja,Rodney Hudson,Jon Asamoah,Eric Winston,Tyson Jackson,,,Glenn Dorsey,,,,Jacques Reeves,Stanford Routt,Eric Berry,Abram Elam,Matt Ryan,Michael Turner,,Roddy White,Michael Palmer,Sam Baker,Justin Blalock,Todd McClure,Garrett Reynolds,Tyson Clabo,Peria Jerry,,,,,,,,,,,,,,,,Dontari Poe,Kroy Biermann,,John Abraham,,William Moore,,,Asante Samuel,Sean Weatherspoon,Jovan Belcher,Justin Houston,Derrick Johnson,Andy Studebaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012,September 9,1,New York Jets,Buffalo Bills,Rex Ryan,Chan Gailey,1-0,0-1,outdoors,fieldturf,New York Jets -3.0,39.0 (over),Mark Sanchez,Shonn Greene,Santonio Holmes,Dustin Keller,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Austin Howard,,,,,,,,,,,,Ryan Fitzpatrick,Fred Jackson,,Donald Jones,Scott Chandler,Cordy Glenn,Andy Levitre,Eric Wood,Kraig Urbik,Erik Pears,Kyle Williams,,Arthur Moats,Kelvin Sheppard,Nick Barnett,,Aaron Williams,Stephon Gilmore,George Wilson,Jairus Byrd,,,,,,,Kenrick Ellis,Mario Williams,,Chris Kelsay,,,,,,,,,,,Kyle Wilson,Muhammad Wilkerson,David Harris,Calvin Pace,LaRon Landry,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2012,September 9,1,New Orleans Saints,Washington Redskins,Aaron Kromer,Mike Shanahan,0-1,1-0,dome,sportturf,New Orleans Saints -9.0,50.5 (over),Drew Brees,Darren Sproles,Lance Moore,Jimmy Graham,Jermon Bushrod,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Cameron Jordan,,,Will Smith,,Curtis Lofton,David Hawthorne,Corey White,Patrick Robinson,Roman Harper,Malcolm Jenkins,Robert Griffin III,Alfred Morris,,Santana Moss,Fred Davis,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,,Barry Cofield,,London Fletcher,,Perry Riley,DeAngelo Hall,Josh Wilson,DeJon Gomes,Madieu Williams,,,,,Sedrick Ellis,,,Adam Carriker,Ryan Kerrigan,Stephen Bowen,Brian Orakpo,,,,,,,,,,Johnny Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2012,September 9,1,Tennessee Titans,New England Patriots,Mike Munchak,Bill Belichick,0-1,1-0,outdoors,grass ,New England Patriots -6.5,48.0 (under),Jake Locker,Chris Johnson,Damian Williams,Craig Stevens,Michael Roos,Steve Hutchinson,Fernando Velasco,Leroy Harris,David Stewart,,,,,Akeem Ayers,Colin McCarthy,,,,Robert Johnson,Michael Griffin,Tom Brady,Stevan Ridley,,Brandon Lloyd,Rob Gronkowski,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,Vince Wilfork,,,,,,Devin McCourty,Kyle Arrington,,,,,,,Karl Klug,,,Rob Ninkovich,,Chandler Jones,,Patrick Chung,Derrick Morgan,,,,,,,,Jason McCourty,,,,,,Jerod Mayo,Ryan Mouton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2012,September 9,1,Cleveland Browns,Philadelphia Eagles,Pat Shurmur,Andy Reid,0-1,1-0,outdoors,grass ,Philadelphia Eagles -9.5,42.0 (under),Brandon Weeden,Trent Richardson,Josh Gordon,,Joe Thomas,Jason Pinkston,Alex Mack,Shawn Lauvao,Mitchell Schwartz,Jabaal Sheard,,,Frostee Rucker,L.J. Fort,D'Qwell Jackson,Kaluka Maiava,Joe Haden,Sheldon Brown,T.J. Ward,Eric Hagg,Michael Vick,LeSean McCoy,Stanley Havili,Jeremy Maclin,Brent Celek,King Dunlap,Evan Mathis,Jason Kelce,Danny Watkins,Todd Herremans,,,,DeMeco Ryans,,,Dominique Rodgers-Cromartie,Nnamdi Asomugha,Nate Allen,Kurt Coleman,,,,,Billy Winn,Owen Marecic,,Jason Babin,,Trent Cole,,,,,Brandon Boykin,,,,,,,,,,,,,,Cullen Jenkins,Derek Landri,Mychal Kendricks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2012,September 9,1,Detroit Lions,St. Louis Rams,Jim Schwartz,Jeff Fisher,1-0,0-1,dome,fieldturf ,Detroit Lions -9.0,46.5 (over),Matthew Stafford,Kevin Smith,Titus Young,Brandon Pettigrew,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Cliff Avril,,,Kyle Vanden Bosch,,Stephen Tulloch,,Jacob Lacey,Bill Bentley,Erik Coleman,John Wendling,Sam Bradford,Steven Jackson,,Brandon Gibson,Lance Kendricks,Rodger Saffold,Robert Turner,Scott Wells,Harvey Dahl,Barry Richardson,,,,James Laurinaitis,Jo-Lonn Dunbar,,Cortland Finnegan,Janoris Jenkins,Craig Dahl,Quintin Mikell,,,,,Corey Williams,,,Chris Long,,Robert Quinn,,,,,Bradley Fletcher,,,,,,,,,DeAndre Levy,,,,,Kendall Langford,Jermelle Cudjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2012,September 9,1,Minnesota Vikings,Jacksonville Jaguars,Leslie Frazier,Mike Mularkey,1-0,0-1,dome,sportturf,Minnesota Vikings -3.5,38.0 (over),Christian Ponder,,Michael Jenkins,John Carlson,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,Brian Robison,,,Jared Allen,Chad Greenway,Jasper Brinkley,Erin Henderson,Antoine Winfield,Chris Cook,Mistral Raymond,Harrison Smith,Blaine Gabbert,,Greg Jones,Justin Blackmon,Marcedes Lewis,Eugene Monroe,Eben Britton,Brad Meester,Uche Nwaneri,Cameron Bradfield,Terrance Knighton,,,Paul Posluszny,,,Aaron Ross,William Middleton,Dawan Landry,Dwight Lowery,,,,,,,Letroy Guion,Tyson Alualu,,Jeremy Mincey,,,,,,Russell Allen,,,,,,,,,,,,,,,,Rashad Jennings,Adrian Peterson,Kevin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
