,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeDT,homeNT,homeRDE,homeMLB,homeWLB,homeLCB,homeCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDE,awayNT,awayRUSH,awayWILL,awayMIKE,awaySAM,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDT,awayMLB,awaySLB,awayWLB,homeDE,homeLILB,homeLOLB,homeRILB,homeROLB,awayHB,awayLDE,awayRDE,homeOLB,awayLB,awayS,homeILB,awayDB,homeSLB,homeFB,homeMIKE,homeRUSH,homeWILL,awayLILB,awayLOLB,awayRILB,awayROLB,awayOLB,homeNB,homeS,homeEND,homeLB,homeT,awayLDT,awayRDT,homeLDT,homeRDT,awayILB,homeLLB,homeRLB,awayBLB,homeJLB,awayEND,awayT,homeDB,awayJLB,homeBLB,homeSAM,awayLLB,awayRLB,homeHB,homeTE/F,homeUT,awayG,awayWIL,awayLOT,awayROT,homeLOT,homeROT,awayNB,homeWIL,awayILBV,awayUT,awayOL,home2,homeDL,awayOT,homeH-B
0,2013,September 5,1,Denver Broncos,Baltimore Ravens,John Fox,John Harbaugh,1-0,0-1,outdoors,grass ,Denver Broncos -7.5,48.0 (over),Peyton Manning,Knowshon Moreno,Demaryius Thomas,Julius Thomas,Ryan Clady,Zane Beadles,Manuel Ramirez,Louis Vasquez,Orlando Franklin,Derek Wolfe,Kevin Vickerson,Terrance Knighton,Robert Ayers,Wesley Woodyard,Danny Trevathan,Tony Carter,Chris Harris Jr.,Dominique Rodgers-Cromartie,Duke Ihenacho,Rahim Moore,Joe Flacco,Ray Rice,Vonta Leach,Torrey Smith,Ed Dickson,Bryant McKinnie,Kelechi Osemele,Gino Gradkowski,Marshal Yanda,Michael Oher,Chris Canty,Haloti Ngata,Terrell Suggs,Josh Bynes,Daryl Smith,Elvis Dumervil,Lardarius Webb,Corey Graham,Jimmy Smith,James Ihedigbo,Michael Huff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,September 8,1,Pittsburgh Steelers,Tennessee Titans,Mike Tomlin,Mike Munchak,0-1,1-0,outdoors,grass ,Pittsburgh Steelers -6.0,42.0 (under),Ben Roethlisberger,Isaac Redman,Emmanuel Sanders,David Paulson,Mike Adams,Ramon Foster,Maurkice Pouncey,David DeCastro,Marcus Gilbert,,,Steve McLendon,,,,Cortez Allen,,Ike Taylor,Troy Polamalu,Ryan Clark,Jake Locker,Chris Johnson,Collin Mooney,Nate Washington,Craig Stevens,Michael Roos,Andy Levitre,Robert Turner,Chance Warmack,David Stewart,Derrick Morgan,,,,,,,Jason McCourty,,Bernard Pollard,Michael Griffin,Jurrell Casey,Moise Fokou,Akeem Ayers,Zach Brown,Evander Hood,Larry Foote,LaMarr Woodley,Lawrence Timmons,Jason Worilds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,September 8,1,Detroit Lions,Minnesota Vikings,Jim Schwartz,Leslie Frazier,1-0,0-1,dome,fieldturf ,Detroit Lions -4.5,46.0 (over),Matthew Stafford,Reggie Bush,Calvin Johnson,Brandon Pettigrew,Riley Reiff,Rob Sims,Dominic Raiola,Larry Warford,Jason Fox,,Ndamukong Suh,,,Stephen Tulloch,,Chris Houston,,Darius Slay,Glover Quin,Louis Delmas,Christian Ponder,,Rhett Ellison,Greg Jennings,Kyle Rudolph,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Fred Evans,,,,,Josh Robinson,Xavier Rhodes,Chris Cook,Jamarca Sanford,Harrison Smith,,Erin Henderson,Chad Greenway,,Willie Young,,,,,Adrian Peterson,Brian Robison,Jared Allen,DeAndre Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013,September 8,1,Cleveland Browns,Miami Dolphins,Rob Chudzinski,Joe Philbin,0-1,1-0,outdoors,grass ,Cleveland Browns -2.5,40.5 (under),Brandon Weeden,Trent Richardson,Travis Benjamin,Gary Barnidge,Joe Thomas,John Greco,Alex Mack,Oniel Cousins,Mitchell Schwartz,Billy Winn,,Phil Taylor,Desmond Bryant,,,Joe Haden,,Chris Owens,T.J. Ward,Tashaun Gipson,Ryan Tannehill,Lamar Miller,,Mike Wallace,Dion Sims,Jonathan Martin,Richie Incognito,Mike Pouncey,John Jerry,Tyson Clabo,,,,,,,,Brent Grimes,,,,Jared Odrick,,,,,,,,,,Cameron Wake,Olivier Vernon,Paul Kruger,Philip Wheeler,Chris Clemons,D'Qwell Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013,September 8,1,Buffalo Bills,New England Patriots,Doug Marrone,Bill Belichick,0-1,1-0,outdoors,a_turf,New England Patriots -10.5,50.5 (under),EJ Manuel,C.J. Spiller,Robert Woods,Scott Chandler,Cordy Glenn,Colin Brown,Eric Wood,Kraig Urbik,Erik Pears,Alex Carrington,Kyle Williams,,Mario Williams,Kiko Alonso,Arthur Moats,Leodis McKelvin,,Justin Rogers,Aaron Williams,Da'Norris Searcy,Tom Brady,James Develin,,Kenbrell Thompkins,Michael Hoomanawanui,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,,,,,,,Aqib Talib,,Alfonzo Dennard,,,Tommy Kelly,,,,,,,,,,Rob Ninkovich,Chandler Jones,,Jerod Mayo,Devin McCourty,,Kyle Arrington,Manny Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013,September 8,1,Chicago Bears,Cincinnati Bengals,Marc Trestman,Marvin Lewis,1-0,0-1,outdoors,grass ,Chicago Bears -3.0,41.5 (over),Jay Cutler,Matt Forte,Brandon Marshall,Steve Maneri,Jermon Bushrod,Matt Slauson,Roberto Garza,Kyle Long,Jordan Mills,Corey Wootton,Henry Melton,Stephen Paea,Julius Peppers,D.J. Williams,Lance Briggs,Tim Jennings,,Charles Tillman,Major Wright,Chris Conte,Andy Dalton,,,A.J. Green,Tyler Eifert,Anthony Collins,Clint Boling,Kyle Cook,Kevin Zeitler,Andre Smith,,Domata Peko,,,,,Terence Newman,,Leon Hall,George Iloka,Reggie Nelson,Geno Atkins,Rey Maualuga,James Harrison,Vontaze Burfict,,,,,,BenJarvus Green-Ellis,Carlos Dunlap,Michael Johnson,,,,,,James Anderson,Tony Fiammetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013,September 8,1,Indianapolis Colts,Oakland Raiders,Chuck Pagano,Dennis Allen,1-0,0-1,retractable roof (closed),fieldturf ,Indianapolis Colts -11.5,45.0 (under),Andrew Luck,Vick Ballard,Darrius Heyward-Bey,Dwayne Allen,Anthony Castonzo,Donald Thomas,Samson Satele,Mike McGlynn,Gosder Cherilus,,Ricky Jean-Francois,Aubrayo Franklin,,,,Greg Toler,,Vontae Davis,Antoine Bethea,LaRon Landry,Terrelle Pryor,Darren McFadden,Marcel Reece,Rod Streater,Jeron Mastrud,Khalif Barnes,Lucas Nix,Stefen Wisniewski,Mike Brisiel,Tony Pashos,,Pat Sims,,,,,Mike Jenkins,,Tracy Porter,Tyvon Branch,Charles Woodson,Vance Walker,Nick Roach,Kevin Burnett,Kaluka Maiava,Cory Redding,,,,,,Jason Hunter,Lamarr Houston,,,,,,Erik Walden,Stanley Havili,Kelvin Sheppard,Robert Mathis,Jerrell Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013,September 8,1,Jacksonville Jaguars,Kansas City Chiefs,Gus Bradley,Andy Reid,0-1,1-0,outdoors,grass ,Kansas City Chiefs -4.5,42.5 (under),Blaine Gabbert,Maurice Jones-Drew,Cecil Shorts,Clay Harbor,Eugene Monroe,Will Rackley,Brad Meester,Uche Nwaneri,Luke Joeckel,Tyson Alualu,Sen'Derrick Marks,,,Paul Posluszny,,Dwayne Gratz,,Alan Ball,Johnathan Cyprien,Dwight Lowery,Alex Smith,Jamaal Charles,,Donnie Avery,Sean McGrath,Branden Albert,Jeff Allen,Rodney Hudson,Geoff Schwartz,Eric Fisher,,Dontari Poe,,,,,Brandon Flowers,,Sean Smith,Eric Berry,Kendrick Lewis,,,,,Jason Babin,,,,,,Tyson Jackson,Mike DeVito,Geno Hayes,,,,,,Will Ta'ufo'ou,,,,Akeem Jordan,Justin Houston,Derrick Johnson,Tamba Hali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,September 8,1,New Orleans Saints,Atlanta Falcons,Sean Payton,Mike Smith,1-0,0-1,dome,sportturf,New Orleans Saints -3.5,54.5 (under),Drew Brees,Mark Ingram,Lance Moore,Jimmy Graham,Charles Brown,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Akiem Hicks,,Brodrick Bunkley,Cameron Jordan,,,Jabari Greer,,Keenan Lewis,,,Matt Ryan,Steven Jackson,Bradie Ewing,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Peter Konz,Garrett Reynolds,Lamar Holmes,,,,,,,,Desmond Trufant,,,,Corey Peters,Akeem Dent,,,,,,,,,Jonathan Babineaux,Osi Umenyiora,Parys Haralson,,William Moore,David Hawthorne,,,Jed Collins,,,,,,,,Kroy Biermann,Kenny Vaccaro,Malcolm Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013,September 8,1,New York Jets,Tampa Bay Buccaneers,Rex Ryan,Greg Schiano,1-0,0-1,outdoors,fieldturf,Tampa Bay Buccaneers -6.0,40.0 (under),Geno Smith,Bilal Powell,Stephen Hill,Jeff Cumberland,D'Brickashaw Ferguson,Vlad Ducasse,Nick Mangold,Willie Colon,Austin Howard,,,Damon Harrison,,,,,Antonio Cromartie,,,,Josh Freeman,Doug Martin,Nate Byham,Mike Williams,Luke Stocker,Donald Penn,Gabe Carimi,Jeremy Zuttah,Davin Joseph,Demar Dotson,,,,,,,Darrelle Revis,Johnthan Banks,Leonard Johnson,Mark Barron,Dashon Goldson,Gerald McCoy,Mason Foster,,Lavonte David,,,,,,,Daniel Te'o-Nesheim,Adrian Clayborn,Garrett McIntyre,,,,,,,David Harris,,Demario Davis,,,,,,,Dawan Landry,Muhammad Wilkerson,Calvin Pace,Sheldon Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
